What are your greatest concerns about AI?,Category
Regulation. It's very important.,6
That one day there will be no jobs for no one,1
Some answers may not be accurate.,5
Too powerful and can be used for deep fake,6
"Like i said, AI is clearly the future and as long as we have UBI for every American, it is great. Without Universal basic income, AI shouldn't exist.",6
"safety, private data at work and at home",2
If it can be hacked or used against us,2
Data privacy and security issues and invasion of home life.,2
I am afraid of the security breach of information,2
To be improved to be very perfect like human,6
Obviously that it would take over the Internet and then the world and universe.,6
I am concerned that criminals will use AI to commit more crimes.,4
Good and helpful for my own al that I use,7
It being used by nefarious actors trying to hurt someone or something,4
Using it to scam people out of identity or money,4
I cannot trust AI nor do I feel comfortable using it.,6
I'm concerned it will replace the workforce.,1
Security concerns I don’t want my personal information sold shared or otherwise made available without my knowledge,2
Taking away the fun jobs and stealing art content,1
Being the end of some human jobs,1
It will take away actual conversation with humans,1
"That it will cause misinformation.  It will be used too much and will really dampen the impact of certain things, like research papers.",5
That it will take away jobs that people need.,1
I don’t have any concerns at the moment,7
Selling my information and spam calls every second,2
nothing concern me about ai so yeah,7
It’s involved in things that aren’t necessary like Instagram,6
I worry that people will lose their jobs due to AI.,1
Nothing at all I love the money,7
Nothing really just be careful,7
Lack of privacy and lack of common sense and lack of freedom,2
If it start acting on in own and people using it for bad stuff.,3
taking over my device and the way AI can become real,3
That it will get too smart and turn on its creator,3
Privacy and security issues concern me the mist,2
AI customer service becoming the new customer service,6
It not providing correct information.,5
I think misinformation and security,5
Everything is no good in my opinion,7
I see no concerns that AI will have on human society,7
Creating contents that are too realistic that can confuse people what is real and what is not,5
That it will be used by scammers and those with nefarious reasons,4
The fact that it could overtake humans and destroy us. Or that u can be scammed easier.,3
That the robots will take over the world and hurt people,3
Security and loss of jobs and constant surveillance,2
The potential for misuse and making people more lazy and stupid,3
That Al will be taking humans jobs in the future,1
None none none none none none jone onejoej joej oke joej joej,7
Security is my main concern as well as privacy,2
i fear it will replace humans in jobs,1
Finding information and ideas.,7
"Content Creatives not being truthful to using AI tools/services, and, certain AI applications overtaking human jobs/occupations.",6
"Honestly, right now I don’t have any concerns",7
That humans will become even worse at critical thinking than we already are,6
It can take people jobs and not give accurate answers sometimes,1
It will take jobs away from humans.,1
It concerns me that powerful people can use it for evil and greed.,4
My concerns would be loss of jobs and people using it for bad intentions,1
Privacy of personal information,2
that its spying and the info is incorrect and will take away work from people,2
They help improve with your work,7
Just seems scary to me in certain areas,6
My greatest concern is AI stealing and selling my information,2
"Providing inaccurate results, relying too much on  AI and not doing own research.",5
bias in the results since a hyman is not overseeing,5
It becoming smart enough to take jobs from people,1
Not working normal when i need it assistance it will be very painful,6
It might do more harm than good who's in control of it?,3
I currently have no concerns about it because I have not ever tried it,7
That it replace all the workers with robots and we lose control of everything,1
My greatest concern is they may take over,3
They will be taking jobs away. Many people will lose jobs,1
They are smarter than humans it's a scary thought,3
People using it to do bad things.AI becoming self aware.,4
leaking info that is confidential,2
The privacy of my information and data concerns me with AI,2
That it interfere with jobs of humans,1
my concerns are basically security,2
Feeding false information and taking over jobs.,5
The safety and concerns for protecting my personal information.,2
I would say losing out on jobs for humans,1
Safety and security in using it and the ramifications.,2
Ai stock market open on the rest of the week you my friend I.,7
Privacy problems and it's to new it seems to know how negatively it can affect me,2
