How would you like AI to be used in the future?,Category
"yes, i would like to use ai in the future",7
to help with research n the health field,3
to help clean my bathroom and mow the grass,1
to determine how weather will impact society,6
research only and not for anything else,2
maybe just on small items. not on big technical,6
"l would use it for research purposes, especially family history",2
in every aspect where possible in safe way,6
i would like to use it to brainstom,6
i probably would use it on everyday things,1
heavily regulated and verified.,6
for tasks around the house/in the job,1
"each industry needs to determine how it can be used in their field.  I think as long as we cite the use of AI correctly, and it does not stop people from independent thinking, it can be very helpful",6
Yes because it help me safe time for all use of devices,1
Will use it for info greeting and for sakes,2
Well in so many ways because words alone cannot explain what i really want about it,7
We won’t have a voice because you will be searching information that is programmed by one sided opinions,6
"Virtual assistants are nice, and for coding and automation",1
Used as a part of our everyday life helping us remain safe,1
Use for good and help more people .,6
Unsure as I haven’t put much thought into it,7
Treat cancer get rid of the disease and others,3
To solve problems earthlings cannot.,6
To provide good research and data.,2
To produce unimaginable abundance for mankind.,6
To predict bad upcoming historical events.,6
To make the world a better place.,6
To make money thank you have a blessed day,6
To make it lives much easier and more efficient,1
To make everyone's life easier,1
To lave e alone until I need t,7
To improve healthcare in the US,3
To improve current applications,6
"To help with tasks such as writing, researching, ect",1
To help with solving our countries problems.,6
To help with questions n help with planning things,1
To help with projects that I'm working on,1
To help with medical research and to help keep neighborhoods safe:,3
To help with medical and surgical practices as an assistant or to help language barriers and things to help assist people rather then completely taking over a person's ability,3
To help with cleaning our environment,6
To help with all sorts of things in the medical and education. Field,1
To help us learn and teach about the world,4
To help society and to help people,1
To help researchers to discover new technologies,2
To help people with medical difficulties and to for fun virtual experiences,3
To help people like me with all technolgy,1
To help people in their everyday lives.,1
To help my everyday needs and learn routine,1
To help more without trying to make people pay,1
To help make our health better,3
To help make everyone's life so much easier,1
To help humans thrive and assist is,1
To help diagnose and treat disease and heal people.,3
To help better organize and arrange my life.,1
To help be able to create things on the spot,1
To help assist me anyway I need,1
To help as many people as possible,1
To do things Like do work for us write story Anything,1
To benefit the human employees,6
To be used to streamline workflow productivity,1
To be selective with how it is used,6
To be more efficient with work and task by helping to do the mundane and redundant work out of people's hand,1
To be helpful with certain things.,1
To be able to teach us and make sure that we are safe,4
"To [perform menial tasks, to organize, as a virtual assistant",1
There are lots of good uses in healthcare and transportation etc.,3
The same way it is used now which is just to help people with simple tasks that are annoying I’d prefer it not be used take peoples jobs,1
The same as it is now just on computer software no actual AI robots,6
The only way I could do that was if you had to do a lot more work and then you would be done by yourself so you,7
That's what we can see  on this is what we have to do for you and your family and,7
"Study, research, leaning, helping disabled adults and children,",2
Speeding up our economy by allowing us to process more information at a faster rate,6
Something beneficial to the majority of society,6
"Pretty likely, it can be helpful",6
Only with things that are high tech like cars not social media,6
Only has an assistant not has being in control,1
Only for science and teaching the dangers of algorithms,4
Only for school and work assignments.,4
"Only for research purposes. AI should only be used as help, not as a solution",2
Online only and on Facebook. Aka meta,6
Once there are more safety procedures in place,6
Nothing really its great  i dont really care to see them in the future,7
Not to much about it at all negative,7
Not to kill everyone or selling information,6
Not to be used is more like it,7
Not sure. What would be the use of this,7
Not sure but I'm sure it is the future to some degree,7
Not sure I hope it's good use tho,7
Not at all!  I wish it had never been invited me,7
Not at all get rid of it. Creepy,7
Not at all   Too much technology is scary to me.,7
No differently than I am now really,7
Music wise I'm for it.. I feel. If it shouldn't be in the workforce us humans have a real life,6
Mostly for research or anything people need help with,2
More In depth features and options,6
Minial uses on things like street lights and simple things that no human intervention  is effected.,6
Medical field to help detect health concerns and risks and diagnosis,3
Makes life a lot easier More efficient work is done things go more smoothly,1
Machines with artificioal intelligence will be able to write best seller,6
Just like a better search engine and nothing further,2
"I’m not sure .., there are so man possibilities",7
I’d rather be in charge than a computer.,7
It's better if it could be used only when asked,6
It's already replacing forms of filing data and some assistance jobs and is an everyday calendar,1
It would be used to generate things and I feel like it gonna take over,6
It should be only in controlled situations,6
It should  be used more in every  part on the apps for shopping  and make it easier  for companies  and consumers  as well,5
"It doesn’t matter, as long as it benefits the world.",6
It could be helpful in many everyday situations.. like answering simple questions or requests.. possible even doing mundane tasks.,1
In the Medical and health industry,3
In helping in schools and help with spelling,4
