Expenditure Category,"Previous Year - Jan.
2023-
Jan.
2024","Previous Month - Dec.
2023-
Jan.
2024","Seasonally Adjusted - Oct.
2023-
Nov.
2023","Seasonally Adjusted - Nov.
2023-
Dec.
2023","Seasonally Adjusted  - Dec.
2023-
Jan.
2024"
All items,3.1,0.5,0.2,0.2,0.3
Food,2.6,0.6,0.2,0.2,0.4
Food at home,1.2,0.7,0,0.1,0.4
Cereals and bakery products,1.5,0.2,0.3,-0.1,-0.2
Cereals and cereal products,-0.6,0.3,0.2,-1,-0.1
Flour and prepared flour mixes,1,2.7,1,-0.2,-1.2
Breakfast cereal(1),-0.8,-0.8,0.8,-2.4,-0.8
"Rice, pasta, cornmeal",-1,0.4,-0.7,0,-0.1
Rice(1)(2)(3),-1.8,-0.6,0.4,0.1,-0.6
Bakery products(1),2.5,0.1,0.2,-0.4,0.1
Bread(1)(2),3.2,0.3,-0.4,-0.3,0.3
White bread(1)(3),3.3,0.5,-1.4,0.2,0.5
Bread other than white(1)(3),2.8,0,0.6,-1,0
"Fresh biscuits, rolls, muffins(2)",2.9,0.2,1.1,-0.4,-0.3
"Cakes, cupcakes, and cookies(1)",1,0.1,0.7,-0.2,0.1
Cookies(1)(3),0.6,0.3,0.2,0.1,0.3
Fresh cakes and cupcakes(1)(3),1.7,-1,1,-0.4,-1
Other bakery products,2.8,0.1,0.7,0.6,-0.8
"Fresh sweetrolls, coffeecakes, doughnuts(1)(3)",2.6,-0.7,0.2,0.2,-0.7
"Crackers, bread, and cracker products(3)",5.1,0,1.3,0.9,-1
"Frozen and refrigerated bakery products, pies, tarts, turnovers(3)",0.9,0.2,0.3,0.4,-0.3
"Meats, poultry, fish, and eggs",-0.9,-0.1,-0.2,0.3,0
"Meats, poultry, and fish",2.1,-0.3,-0.3,0.1,-0.2
Meats,3.5,-0.3,-0.3,0.3,-0.1
Beef and veal,7.7,-0.3,0.1,0.6,-0.3
Uncooked ground beef(1),5.5,-1.3,-1.5,-0.7,-1.3
Uncooked beef roasts(2),6.7,-0.7,1.8,-1.2,0.5
Uncooked beef steaks(2),10.7,0.6,-0.8,2.2,0.9
Uncooked other beef and veal(1)(2),5,0.3,1.6,-1.1,0.3
Pork,-0.4,-0.3,-1.1,0.2,-0.3
"Bacon, breakfast sausage, and related products(2)",-1.3,-0.4,-1.4,-0.1,-0.6
Bacon and related products(3),0.6,-2.1,-2.4,0.5,-1.3
Breakfast sausage and related products(2)(3),-3.4,2.1,0.1,-1,0.2
Ham,-3,-0.5,-0.5,1.4,-3.1
"Ham, excluding canned(3)",-3.6,-0.8,-0.8,1.6,-3.4
