Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",140.09,-5.34,-3.67%,143.1,139.45,85925500,2022-10-07
ABNB,"Airbnb Inc Cl A",108.54,-3.04,-2.72%,109.53,107.1,3352700,2022-10-07
ADBE,"Adobe Systems Inc",288.77,-9.64,-3.23%,293.7,286.83,3495900,2022-10-07
ADI,"Analog Devices",144.92,-6.05,-4.01%,148.63,144.13,4351200,2022-10-07
ADP,"Automatic Data Procs",227.12,-7.77,-3.31%,232.72,225.91,2068400,2022-10-07
ADSK,"Autodesk Inc",194.74,-11.13,-5.41%,202.17,193.27,1261200,2022-10-07
AEP,"American Electric Power Company",82.99,-1.52,-1.80%,84.88,82.57,3717100,2022-10-07
ALGN,"Align Technology",211.58,-10.78,-4.85%,220.09,210.39,779500,2022-10-07
AMAT,"Applied Materials",82.6,-5.52,-6.26%,85.54,82.02,10029800,2022-10-07
AMD,"Adv Micro Devices",58.44,-9.41,-13.87%,64.03,58.22,163786203,2022-10-07
AMGN,"Amgen Inc",229.03,-1.91,-0.83%,231.51,228.57,2060000,2022-10-07
AMZN,"Amazon.com Inc",114.56,-5.74,-4.77%,118.17,113.88,54677898,2022-10-07
ANSS,"Ansys Inc",218.3,-13.93,-6.00%,227.44,216.74,626700,2022-10-07
ASML,"Asml Holdings NY Reg ADR",434.26,-27.88,-6.03%,448.72,432.73,1412400,2022-10-07
ATVI,"Activision Blizzard",73.35,-0.48,-0.65%,73.73,73.04,4208200,2022-10-07
AVGO,"Broadcom Ltd",460.48,-19.02,-3.97%,473.34,459.02,2842500,2022-10-07
AZN,"Astrazeneca Plc ADR",55.4,0.49,+0.89%,56.2,55.21,8216199,2022-10-07
BIDU,"Baidu Inc ADR",120.44,-2.23,-1.82%,121.89,119.08,2005800,2022-10-07
BIIB,"Biogen Inc",257.89,-4.37,-1.67%,265.98,256.48,1778200,2022-10-07
BKNG,"Booking Holdings Inc",1685.16,-24.57,-1.44%,1699.03,1668.12,443500,2022-10-07
CDNS,"Cadence Design Sys",158.9,-9.51,-5.65%,165.62,158,2415600,2022-10-07
