Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
PLTR,23.19,2024/02/07,10:48 EST,1.3199997,21.6,23.38,21.38,97458866.0,,,,,,,
NYCB,3.805,2024/02/07,10:48 EST,-0.39499974,4.25,4.35,3.62,64212326.0,,,,,,,
F,12.285,2024/02/07,10:48 EST,0.21500015,12.73,12.98,12.2,56767279.0,,,,,,,
LTHM,16.51,2024/01/03,16:00 EST,-1.54,17.49,17.5114,15.68,52055443.0,,,,,,,
DISH,5.77,2023/12/29,16:00 EST,0.11000013,5.64,5.963,5.57,50815955.0,,,,,,,
TSLA,186.53,2024/02/07,10:48 EST,1.4299927,188.18,189.22,182.68,45956888.0,,,,,,,
RPT,12.83,2023/12/29,16:00 EST,0.0,13.13,13.16,12.83,40083635.0,,,,,,,
GLT,2.132,2024/02/07,10:48 EST,0.852,2.53,2.71,1.96,38323008.0,,,,,,,
SLGC,2.1,2024/01/05,16:00 EST,-0.10000014,2.16,2.31,1.93,33910799.0,,,,,,,
FUBO,1.81,2024/02/07,10:48 EST,-0.70000005,2.02,2.03,1.8,24846454.0,,,,,,,
ESMT,23.05,2024/01/25,16:00 EST,-0.0200005,23.07,23.105,23.05,22244078.0,,,,,,,
MRTX,58.7,2024/01/22,16:00 EST,0.0,58.76,58.7,58.7,20956839.0,,,,,,,
SGEN,228.74,2023/12/13,16:00 EST,-0.1599884,228.93,228.96,228.74,19392808.0,,,,,,,
AMD,170.74,2024/02/07,10:48 EST,2.8600006,169.47,172.97,168.2,19307438.0,,,,,,,
RBLX,43.945,2024/02/07,10:48 EST,3.3450012,44.61,46.6,43.0801,18316121.0,,,,,,,
GOEV,0.1614,2024/02/07,10:48 EST,0.00050000846,0.1609,0.1666,0.155,17713260.0,,,,,,,
NVDA,693.56,2024/02/07,10:48 EST,11.330017,683.19,694.99,676.0,17481118.0,,,,,,,
UBER,70.7589,2024/02/07,10:48 EST,0.28890228,67.595,70.858,67.24,17386248.0,,,,,,,
NKLA,0.6922,2024/02/07,10:48 EST,-0.024699986,0.72,0.7243,0.69,16931377.0,,,,,,,
TELL,0.449,2024/02/07,10:48 EST,-0.028400004,0.52,0.53,0.438,16788379.0,,,,,,,
ABMD,381.02,2022/12/21,16:00 EST,0.0,380.78,381.28,380.545,15702662.0,,,,,,,
AAPL,189.625,2024/02/07,10:48 EST,0.32499695,190.64,191.03,188.61,15267873.0,,,,,,,
MARA,16.4399,2024/02/07,10:48 EST,-0.6201,16.85,17.075,16.14,14986796.0,,,,,,,
SOFI,7.594,2024/02/07,10:48 EST,-0.20600033,7.82,7.83,7.57,14379562.0,,,,,,,
AMZN,169.6365,2024/02/07,10:48 EST,0.48651123,169.48,170.49,169.25,14121062.0,,,,,,,
PLUG,4.315,2024/02/07,10:48 EST,-0.17499971,4.55,4.59,4.18,13443782.0,,,,,,,
EBIX,1.16,2023/12/27,16:00 EST,0.0,1.71,1.16,1.16,12299348.0,,,,,,,
NVTA,0.035,2024/02/07,10:33 EST,-0.054100003,0.39,0.0725,0.03,12098616.0,,,,,,,
FSR,0.7514,2024/02/07,10:48 EST,-0.061800003,0.814,0.82,0.75,11433304.0,,,,,,,
VFC,14.755,2024/02/07,10:48 EST,-2.1950006,15.29,15.74,14.44,11300948.0,,,,,,,
WBD,9.828,2024/02/07,10:48 EST,-0.24199963,10.35,10.34,9.63,11148650.0,,,,,,,
PARA,13.205,2024/02/07,10:48 EST,-0.78499985,13.9,13.91,13.075,10206819.0,,,,,,,
FTNT,70.281,2024/02/07,10:48 EST,2.8009949,73.83,73.91,68.4,9679317.0,,,,,,,
META,468.0375,2024/02/07,10:48 EST,13.317505,458.0,470.91,456.1773,9150191.0,,,,,,,
LCID,3.4398,2024/02/07,10:48 EST,-0.060199976,3.545,3.58,3.4,8875444.0,,,,,,,
LUMN,1.47,2024/02/07,10:48 EST,0.120000005,1.52,1.515,1.4,8762570.0,,,,,,,
ENPH,119.46,2024/02/07,10:48 EST,18.949997,119.54,124.085,114.701,8496227.0,,,,,,,
VLY,7.535,2024/02/07,10:48 EST,-0.6350002,8.07,8.235,7.35,8432931.0,,,,,,,
SRC,42.98,2024/01/22,15:59 EST,0.27,42.77,43.67,42.16,7992731.0,,,,,,,
RIVN,15.2634,2024/02/07,10:48 EST,-0.23659992,15.64,15.765,15.11,7943813.0,,,,,,,
T,17.415,2024/02/07,10:48 EST,-0.1949997,17.6,17.62,17.33,7621954.0,,,,,,,
PFE,27.445,2024/02/07,10:48 EST,-0.055000305,27.55,27.57,27.34,7611020.0,,,,,,,
GOOGL,144.8298,2024/02/07,10:48 EST,0.72979736,144.76,145.31,143.925,7319757.0,,,,,,,
BAC,32.861,2024/02/07,10:48 EST,-0.17900085,33.06,33.24,32.63,7226578.0,,,,,,,
INTC,42.9525,2024/02/07,10:48 EST,0.21249771,42.89,43.0899,42.6301,7181088.0,,,,,,,
MSFT,411.53,2024/02/07,10:48 EST,6.0400085,407.44,412.4299,407.4,6839468.0,,,,,,,
OPK,0.9605,2024/02/07,10:48 EST,-0.017099977,0.99,0.99,0.921,6757561.0,,,,,,,
PYPL,63.91,2024/02/07,10:48 EST,0.20000076,64.54,64.85,62.85,6680868.0,,,,,,,
CMCSA,43.8325,2024/02/07,10:48 EST,-0.5874977,44.63,44.77,43.585,6670218.0,,,,,,,
TSP,0.25,2024/02/06,16:00 EST,-0.014999986,0.28,0.2856,0.236,6665310.0,,,,,,,
AAL,14.774,2024/02/07,10:48 EST,-0.12599945,14.92,15.03,14.75,6518303.0,,,,,,,
MU,84.79,2024/02/07,10:48 EST,0.19000244,84.14,84.8715,82.47,6498413.0,,,,,,,
NSTG,0.0802,2024/02/07,10:48 EST,-0.011500001,0.0805,0.09,0.0755,6338817.0,,,,,,,
CLSK,8.59,2024/02/07,10:48 EST,-0.10999966,8.76,8.92,8.47,5972983.0,,,,,,,
RUN,14.8901,2024/02/07,10:48 EST,0.42009926,15.36,15.58,14.455,5950919.0,,,,,,,
KEY,13.7,2024/02/07,10:48 EST,-0.19999981,13.97,14.005,13.43,5667997.0,,,,,,,
FCEL,1.255,2024/02/07,10:48 EST,0.024999976,1.245,1.29,1.2,5624229.0,,,,,,,
GM,38.365,2024/02/07,10:48 EST,0.3350029,38.54,39.12,38.105,5556481.0,,,,,,,
GOOG,146.1,2024/02/07,10:48 EST,0.69000244,146.12,146.505,145.2103,5493935.0,,,,,,,
FFIE,0.0953,2024/02/07,10:48 EST,-0.008700006,0.1024,0.1024,0.0932,5453202.0,,,,,,,
AMC,3.91,2024/02/07,10:48 EST,-0.16000009,4.08,4.08,3.84,5387168.0,,,,,,,
CCL,15.77,2024/02/07,10:48 EST,-0.19999981,16.0,16.02,15.66,5137060.0,,,,,,,
DIS,98.98,2024/02/07,10:48 EST,-0.30999756,97.39,98.99,96.64,5087188.0,,,,,,,
HBAN,12.295,2024/02/07,10:48 EST,-0.07499981,12.49,12.515,12.13,4962267.0,,,,,,,
RITM,10.21,2024/02/07,10:48 EST,-0.3699999,10.68,10.68,9.97,4921260.0,,,,,,,
SMCI,694.0094,2024/02/07,10:48 EST,12.419373,675.0,699.76,660.08,4858451.0,,,,,,,
PCG,16.315,2024/02/07,10:48 EST,0.07500076,16.3,16.455,16.25,4769574.0,,,,,,,
PINS,40.61,2024/02/07,10:48 EST,-0.43999863,39.99,40.775,39.56,4738124.0,,,,,,,
CVS,76.082,2024/02/07,10:48 EST,2.3219986,75.15,77.4,75.06,4630944.0,,,,,,,
LYFT,12.705,2024/02/07,10:48 EST,-0.51500034,13.17,13.28,12.46,4565930.0,,,,,,,
SONO,19.1,2024/02/07,10:48 EST,2.6400013,18.31,19.39,17.98,4555794.0,,,,,,,
OPEN,3.195,2024/02/07,10:48 EST,-0.08500004,3.3,3.3,3.14,4498277.0,,,,,,,
RIOT,10.57,2024/02/07,10:48 EST,-0.24000072,10.74,10.9,10.44,4218158.0,,,,,,,
WULF,1.595,2024/02/07,10:48 EST,-0.100000024,1.69,1.7075,1.59,4164811.0,,,,,,,
AGNC,9.33,2024/02/07,10:48 EST,-0.14999962,9.49,9.51,9.3,4117553.0,,,,,,,
GILD,74.835,2024/02/07,10:48 EST,-2.8850021,76.21,76.45,73.94,4114809.0,,,,,,,
BMY,48.23,2024/02/07,10:48 EST,-1.0299988,49.19,49.35,48.025,4103357.0,,,,,,,
MRVL,67.45,2024/02/07,10:48 EST,0.36999512,67.67,67.98,66.01,3975972.0,,,,,,,
JBLU,5.7999,2024/02/07,10:48 EST,-0.19009972,6.0,6.02,5.7601,3946473.0,,,,,,,
MPW,3.21,2024/02/07,10:48 EST,-0.01999998,3.25,3.26,3.16,3936497.0,,,,,,,
WFC,47.87,2024/02/07,10:48 EST,-0.42000198,48.45,48.47,47.45,3899677.0,,,,,,,
BRDS,0.0845,2023/12/20,15:57 EST,-0.3365,0.274,0.298,0.065,3878252.0,,,,,,,
KMI,16.6,2024/02/07,10:48 EST,-0.09000015,16.74,16.77,16.52,3578297.0,,,,,,,
VZ,40.7,2024/02/07,10:48 EST,-0.3999977,41.1,41.14,40.61,3491471.0,,,,,,,
CSCO,49.83,2024/02/07,10:48 EST,-0.14999771,50.3,50.35,49.46,3477169.0,,,,,,,
PTON,4.33,2024/02/07,10:48 EST,-0.05000019,4.34,4.4,4.29,3470645.0,,,,,,,
NOVA,9.81,2024/02/07,10:48 EST,0.7400007,9.6,9.94,9.125,3459906.0,,,,,,,
DNA,1.2484,2024/02/07,10:48 EST,-0.04159999,1.28,1.29,1.22,3319501.0,,,,,,,
PNT,12.5,2023/12/26,16:00 EST,0.0,12.5,12.5,12.5,3290875.0,,,,,,,
COHR,62.52,2024/02/07,10:48 EST,4.5200005,59.29,63.37,58.68,3282034.0,,,,,,,
AMGN,303.0,2024/02/07,10:48 EST,-13.070007,315.51,315.51,302.63,3220040.0,,,,,,,
USB,39.425,2024/02/07,10:48 EST,-0.67499924,40.24,40.32,38.865,3200506.0,,,,,,,
AFRM,43.76,2024/02/07,10:48 EST,0.32999802,43.9,44.09,42.81,3179808.0,,,,,,,
XOM,101.365,2024/02/07,10:48 EST,-0.88500214,102.25,102.73,101.18,3170186.0,,,,,,,
EMR,104.5,2024/02/07,10:48 EST,10.239998,101.88,104.615,100.3,3142138.0,,,,,,,
C,54.06,2024/02/07,10:48 EST,-0.2899971,54.5,54.7,53.77,3119193.0,,,,,,,
UPST,32.08,2024/02/07,10:48 EST,-1.2199974,33.16,33.18,31.34,3037582.0,,,,,,,
WBA,23.06,2024/02/07,10:48 EST,-0.050001144,23.25,23.765,22.83,2968568.0,,,,,,,
TFC,35.58,2024/02/07,10:48 EST,-0.66999817,36.42,36.56,35.15,2914944.0,,,,,,,
ABR,12.22,2024/02/07,10:48 EST,-0.34000015,12.58,12.59,12.0,2893103.0,,,,,,,
PACB,6.17,2024/02/07,10:48 EST,-0.4000001,6.59,6.59,6.06,2827212.0,,,,,,,
CHPT,1.9504,2024/02/07,10:48 EST,-0.069599986,2.02,2.07,1.94,2819033.0,,,,,,,
COIN,117.45,2024/02/07,10:48 EST,-2.340004,119.68,119.77,115.04,2769902.0,,,,,,,
AMCR,9.35,2024/02/07,10:48 EST,0.17000008,9.35,9.56,9.3,2765857.0,,,,,,,
