How do you feel about AI?,Sentiment,Gender,Age,Area,City
It's really cool. I loooooooooooooooooove it.,1,male,18 - 24,New York,Brooklyn
I think a I is good and I think a I will run the world one day,1,male,35 - 44,Georgia,Atlanta
It is Genius I enjoy the use.useful with school work and any unexplained questions and problems,1,female,35 - 44,Nevada,Las Vegas
Powerful but scary but can change the world for the positive because it is so innovative and can help people accomplish so much it is very important and powerful,3,female,35 - 44,New York,Brooklyn
"I love how helpful AI is.It can do so mucj great but we need to pass UBI for every American. Universal basic income. Itlf we have UBInthen AI is the greatest. If not, we are in trouble.",3,male,35 - 44,Ohio,Oberlin
its our future and we have to use everywhere asap,1,male,> 54,New York,New Hyde Park
I feel it will help us to be more efficient as humans,1,female,35 - 44,Mississippi,Biloxi
I think it is important and innovative and will be included in most technologies.,1,male,25 - 34,California,Santa Ana
I  have Neutral feelings about A I I do not trust it at all,2,female,> 54,New York,Queens
I feel great they are one of a kind and good to help,1,male,35 - 44,Illinois,Elwood
I feel like I do not know enough about it to form an accurate opinion.,4,female,35 - 44,Kentucky,Mayfield
I really don't understand the entire concept of AI. I am waiting to see if is useful to my needs.,4,female,> 54,California,Porterville
I feel good about al is so much better benefit,1,male,35 - 44,Tennessee,Munford
It is Necessary to evolve business and education,1,female,35 - 44,Massachusetts,Boston
Just getting used to the benefits.  Hope it causes more good than harm,3,female,45 - 54,Wisconsin,Milwaukee
I am not comfortable with AI and I am not sure I know much about it.,4,female,35 - 44,California,Santa Maria
AI is prominent in the workforce and technological aspect.,1,female,35 - 44,Arizona,Chandler
I am kind of concerned about the safety concerns in relations to AI,2,female,35 - 44,Maryland,Silver Spring
It should only be used as a tool and for the more monotonous draining jobs,3,female,25 - 34,Alabama,Semmes
Nothing strong either way but it might be the end of humanity,3,female,25 - 34,West Virginia,Beckley
Leaning towards not good. Feel like it's gonna be bad.,2,female,> 54,Michigan,Rockford
I feel it is a bad thing.  It is going to make it sometimes extremely hard to decipher what is real and what is fake.,2,male,35 - 44,Indiana,Indianapolis
I feel like its taking out the creativity of alot of things but is also very useful.,3,male,35 - 44,Nevada,Las Vegas
I thing it's genius and recently starting using it at work and I believe it's on its way up,1,female,35 - 44,Hawaii,Kīhei
Great helps with alot of things technology research,1,female,45 - 54,Florida,Orlando
i feel good about ai so like yeah and i love it so much,1,female,25 - 34,New York,Brentwood
"I see it everywhere and I don't like it, it doesn't need to be involved everything",2,female,18 - 24,California,Hemet
I think it can be both helpful and hurtful to different industries.,3,female,45 - 54,Texas,Houston
I love to be the best and love be me and love the rest.,5,male,25 - 34,Texas,Houston
I think it's really good for helping people learn new things,1,female,> 54,Michigan,Clarkston
I do not like it and I do not trust it and I do not use it.,2,male,> 54,Maryland,Gaithersburg
I feel kinda good because it can help u do sum stuff that u can't do and u can learn alot from it,1,male,16 - 17,New York,Staten Island
i think its awesome but weird at the same time,3,female,18 - 24,New Jersey,Ridgefield Park
"I use it sometimes, I like it after ut took a minute to get use to it",1,male,45 - 54,Wisconsin,Viroqua
I don't know anything about it and it makes me nervous,2,female,> 54,Pennsylvania,Feasterville
I feel like it's overrated and hasn't shown much,2,male,18 - 24,Nevada,Las Vegas
"I love it, it helps me when i'm writing papers for assignments.",1,female,18 - 24,Georgia,Atlanta
I think it can help with tasks humans don't need to do,1,male,35 - 44,Virginia,Charlottesville
I don't approve of it. I don't feel as though it is needed nor necessary,2,male,35 - 44,Pennsylvania,Philadelphia
It'll help the human race a lot better. It allows from work personalized advertisement and customizations of our ads that we see in our day-to-day lives,1,male,25 - 34,North Carolina,Charlotte
I am excited for the development and how it will be incorporated into our everyday lives,1,male,45 - 54,California,Los Angeles
"I think it can help a lot, but has the potential for mususe",3,female,> 54,Alabama,Hamilton
"It's scary as hell, it's too realistic and too smart",2,male,25 - 34,Missouri,Kansas City
I absolutely hate it and I think it's a horrible idea,2,female,25 - 34,Tennessee,Nashville
It is scary and going to cause many negatives affects,2,female,> 54,Florida,Longwood
It sucks and it is frightening because it will be abused,2,male,> 54,Ohio,Columbus
Al has it's benefits and it's problems but overall I think Al is a good thing and here to stay,3,female,> 54,Texas,Unknown
Its a good creation for the world to see and hear from you and your family and friends and cdr,5,male,25 - 34,Tennessee,Memphis
"I am very skeptical of AI%3B I do feel that in some cases it can help, but I fear the dangers  of it too much",3,female,35 - 44,Tennessee,Morristown
i like how technologically advanced it is as it makes performing tasks easier,1,female,25 - 34,Texas,San Antonio
I feel like it is a useful technology for useful information.,1,male,35 - 44,Nevada,Henderson
"It is a scary, but exciting new technology and tool. I believe it should be regulated more and tided with caution.",3,male,25 - 34,Texas,Houston
I feel I have a eye is great and it's perfect,5,male,35 - 44,California,San Bernardino
I don't think the benefits of it outweigh the risks,2,female,35 - 44,Michigan,Alpena
It is a great advancement in technology that helps humans,1,male,25 - 34,Iowa,Sioux City
I do not trust it in general but I am willing to learn more about it.,4,male,> 54,Florida,Spring Hill
I think it is a very dangerous technology. I think that it could be used for good but the current world rulers seem to not want that.,2,male,35 - 44,Ohio,Xenia
AI is interesting in the fact that it can help with alot of different aspects but also van be used for bad,3,male,35 - 44,California,Carson
I am a little concerned about the future of employment because of AI,2,female,35 - 44,Virginia,Henrico
scared and worried that no one is regulating it.,2,female,35 - 44,Ohio,Rocky River
It helps with everything you need on your device,1,male,25 - 34,California,San Francisco
I have mixed feelings about it whether it's gonna help or harm us,3,female,> 54,Ohio,Lima
I feel likw AI is a great investment. It helps us do so much stuff easier in the world,1,female,18 - 24,North Carolina,Charlotte
I feel there are advantages and disadvantages to using it.,3,female,> 54,California,San Francisco
curious and excited about what it night accomplish,1,male,> 54,New Jersey,West Orange
I think AI is good to an extent. I don't completely agree with everything they are intending AI for.,3,female,35 - 44,Virginia,Chilhowie
Very nice and helpful for many and graceful work i really like so much because it as help me and my family a lot,1,male,35 - 44,Georgia,Ludowici
So I don't know it's kind of scary. It is not real and I don't understand how it works like cryptocurrency.,2,male,45 - 54,California,Chico
I have no  strong feelings about it because I had not ever used it before,4,female,25 - 34,Louisiana,Unknown
It's a new wave of technology that's going to change the future,1,male,35 - 44,Georgia,Hinesville
