Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
NOVA,11.03,2024/02/08,15:04 EST,0.67999935,10.23,11.175,10.25,4756675,,,,,,,
COF,135.05,2024/02/08,15:04 EST,1.0800018,133.89,135.5233,132.5,965347,,,,,,,
BAC,33.175,2024/02/08,15:04 EST,-0.005001068,33.05,33.275,32.8001,24714619,,,,,,,
JPM,174.69,2024/02/08,15:04 EST,-0.73999023,175.0,175.3058,173.57,3204098,,,,,,,
NVDA,699.84,2024/02/08,15:04 EST,-1.1499634,700.74,707.94,694.55,34620474,,,,,,,
META,469.33,2024/02/08,15:04 EST,-0.26000977,468.32,470.59,465.03,13805371,,,,,,,
AAPL,188.21,2024/02/08,15:04 EST,-1.199997,189.385,189.535,187.35,27349416,,,,,,,
GOOG,146.985,2024/02/08,15:04 EST,0.30500793,146.97,147.61,146.42,12643024,,,,,,,
TSLA,189.8901,2024/02/08,15:04 EST,2.3101044,189.0,191.6171,185.58,73360603,,,,,,,
MSFT,413.57,2024/02/08,15:04 EST,-0.47998047,414.05,415.56,412.53,12393018,,,,,,,
INTC,42.715,2024/02/08,15:04 EST,-0.06499863,42.72,42.97,42.33,18882134,,,,,,,
DUOL,184.68,2024/02/08,15:04 EST,2.2099915,184.12,187.97,182.54,317179,,,,,,,
NFLX,558.775,2024/02/08,15:04 EST,-0.5249634,560.55,563.7,555.74,2240562,,,,,,,
PLTR,24.938,2024/02/08,15:04 EST,1.3379993,23.96,25.06,23.32,181886940,,,,,,,
UBER,71.555,2024/02/08,15:04 EST,0.9049988,71.93,73.04,71.195,17200447,,,,,,,
DASH,118.1993,2024/02/08,15:04 EST,3.8693008,116.32,119.3,115.3168,2709690,,,,,,,
ABNB,150.3,2024/02/08,15:04 EST,2.75,149.25,150.34,148.07,2162179,,,,,,,
RBLX,44.414,2024/02/08,15:04 EST,-0.3260002,45.48,47.11,44.05,13557843,,,,,,,
RDFN,8.355,2024/02/08,15:03 EST,0.09499931,8.23,8.52,8.12,2989420,,,,,,,
AMC,4.13,2024/02/08,15:04 EST,0.19000006,3.98,4.14,3.95,8222656,,,,,,,
