"Row ID","Response","Applicable Categories"
1,"Regulation. It's very important.","7"
2,"That one day there will be no jobs for no one","1"
3,"Some answers may not be accurate.","4"
4,"Too powerful and can be used for deep fake","3,5"
5,"Like i said, AI is clearly the future and as long as we have UBI for every American, it is great. Without Universal basic income, AI shouldn't exist.","1,7"
6,"safety, private data at work and at home","2"
7,"If it can be hacked or used against us","2,5"
8,"Data privacy and security issues and invasion of home life.","2"
9,"I am afraid of the security breach of information","2"
10,"To be improved to be very perfect like human","8"
11,"Obviously that it would take over the Internet and then the world and universe.","3"
12,"I am concerned that criminals will use AI to commit more crimes.","5"
13,"Good and helpful for my own al that I use","9"
14,"It being used by nefarious actors trying to hurt someone or something","5"
15,"Using it to scam people out of identity or money","5"
16,"I cannot trust AI nor do I feel comfortable using it.","8"
17,"I'm concerned it will replace the workforce.","1"
18,"Security concerns I don’t want my personal information sold shared or otherwise made available without my knowledge","2"
19,"Taking away the fun jobs and stealing art content","1,8"
20,"Being the end of some human jobs","1"
21,"It will take away actual conversation with humans","8"
22,"That it will cause misinformation.  It will be used too much and will really dampen the impact of certain things, like research papers.","4,8"
23,"That it will take away jobs that people need.","1"
24,"I don’t have any concerns at the moment","9"
25,"Selling my information and spam calls every second","2"
26,"nothing concern me about ai so yeah","9"
27,"It’s involved in things that aren’t necessary like Instagram","8"
28,"I worry that people will lose their jobs due to AI.","1"
29,"Nothing at all I love the money","9"
30,"Nothing really just be careful","9"
31,"Lack of privacy and lack of common sense and lack of freedom","2,8"
32,"If it start acting on in own and people using it for bad stuff.","3,5"
33,"taking over my device and the way AI can become real","3"
34,"That it will get too smart and turn on its creator","3"
35,"Privacy and security issues concern me the mist","2"
36,"AI customer service becoming the new customer service","1"
37,"It not providing correct information.","4"
38,"I think misinformation and security","2,4"
39,"Everything is no good in my opinion","8"
40,"I see no concerns that AI will have on human society","9"
41,"Creating contents that are too realistic that can confuse people what is real and what is not","4"
42,"That it will be used by scammers and those with nefarious reasons","5"
43,"The fact that it could overtake humans and destroy us. Or that u can be scammed easier.","3,5"
44,"That the robots will take over the world and hurt people","3"
45,"Security and loss of jobs and constant surveillance","1,2,8"
46,"The potential for misuse and making people more lazy and stupid","5,6"
47,"That Al will be taking humans jobs in the future","1"
48,"None none none none none none jone onejoej joej oke joej joej","9"
49,"Security is my main concern as well as privacy","2"
50,"i fear it will replace humans in jobs","1"
51,"Finding information and ideas.","8"
52,"Content Creatives not being truthful to using AI tools/services, and, certain AI applications overtaking human jobs/occupations.","1,5"
53,"Honestly, right now I don’t have any concerns","9"
54,"That humans will become even worse at critical thinking than we already are","6"
55,"It can take people jobs and not give accurate answers sometimes","1,4"
56,"It will take jobs away from humans.","1"
57,"It concerns me that powerful people can use it for evil and greed.","5"
58,"My concerns would be loss of jobs and people using it for bad intentions","1,5"
59,"Privacy of personal information","2"
60,"that its spying and the info is incorrect and will take away work from people","1,2,4"
61,"They help improve with your work","9"
62,"Just seems scary to me in certain areas","8"
63,"My greatest concern is AI stealing and selling my information","2"
64,"Providing inaccurate results, relying too much on  AI and not doing own research.","4,6"
65,"bias in the results since a hyman is not overseeing","4"
66,"It becoming smart enough to take jobs from people","1"
67,"Not working normal when i need it assistance it will be very painful","8"
68,"It might do more harm than good who's in control of it?","5,7"
69,"I currently have no concerns about it because I have not ever tried it","9"
70,"That it replace all the workers with robots and we lose control of everything","1,3"
71,"My greatest concern is they may take over","3"
72,"They will be taking jobs away. Many people will lose jobs","1"
73,"They are smarter than humans it's a scary thought","3"
74,"People using it to do bad things.AI becoming self aware.","3,5"
75,"leaking info that is confidential","2"
76,"The privacy of my information and data concerns me with AI","2"
77,"That it interfere with jobs of humans","1"
78,"my concerns are basically security","2"
79,"Feeding false information and taking over jobs.","1,4"
80,"The safety and concerns for protecting my personal information.","2"
81,"I would say losing out on jobs for humans","1"
82,"Safety and security in using it and the ramifications.","2"
83,"Ai stock market open on the rest of the week you my friend I.","8"
84,"Privacy problems and it's to new it seems to know how negatively it can affect me","2,8"
85,"Robots taking over the world. And it ending.","3"
86,"I don't know what concerns I might have cuz I don't know anything about it","9"
87,"Taking over everything and what harm it can cause.","3,5"
88,"Replacing humans. No sympathy. Can be hacked","1,2,8"
89,"I’m concerned that society isn’t ready for such a huge responsibility.","8"
90,"My greatest concern about AI is that they might take over one day","3"
91,"Security safety for the future of the world","2"
92,"It seems to pop up on my device unwarranted and unwarranted and unasked","8"
93,"It becoming smarter than humans and taking over and enslaving us","3"
94,"My greatest concern is my personal privacy.","2"
