Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",127.44,-4.74,-3.59%,130.45,130.93,126.96,1154600,2022-10-07
AA,"Alcoa Corp",39.01,-0.84,-2.11%,39.04,39.35,37.88,6270600,2022-10-07
AAL,"American Airlines Gp",12.18,-0.55,-4.32%,12.5,12.54,11.94,37297602,2022-10-07
AAP,"Advance Auto Parts Inc",161.32,-3.82,-2.31%,163.97,164.03,160.1,582700,2022-10-07
AAPL,"Apple Inc",140.09,-5.34,-3.67%,142.54,143.1,139.45,85925500,2022-10-07
ABBV,"Abbvie Inc",138.76,-1.53,-1.09%,139.01,140.05,137.55,4648800,2022-10-07
ABC,"Amerisourcebergen Corp",137.35,-2.56,-1.83%,138.8,139.27,136.87,1034500,2022-10-07
ABMD,"Abiomed Inc",257.09,-10.12,-3.79%,263.37,266.53,255.48,242900,2022-10-07
ABNB,"Airbnb Inc Cl A",108.54,-3.04,-2.72%,108.87,109.53,107.1,3352700,2022-10-07
ABT,"Abbott Laboratories",101.79,-0.66,-0.64%,102.5,105.09,101.04,8485900,2022-10-07
ACGL,"Arch Capital Grp Ltd",45.67,-2.33,-4.85%,47.7,47.74,45.54,2712200,2022-10-07
ACHC,"Acadia Healthcr Company",80.17,-2.61,-3.15%,81.85,81.85,79.45,478200,2022-10-07
ACI,"Albertsons Companies Inc Cl A",24.43,-0.83,-3.29%,25.25,25.42,24.35,2420800,2022-10-07
ACM,"Aecom Technology Corp",72.09,-1.05,-1.44%,72.72,73.03,71.37,435400,2022-10-07
ACN,"Accenture Plc",259.71,-9.76,-3.62%,266.48,266.86,258.29,1951200,2022-10-07
ADBE,"Adobe Systems Inc",288.77,-9.64,-3.23%,291.36,293.7,286.83,3495900,2022-10-07
ADI,"Analog Devices",144.92,-6.05,-4.01%,147.67,148.63,144.13,4351200,2022-10-07
ADM,"Archer Daniels Midland",85.44,-0.31,-0.36%,84.98,86.04,84.33,2396100,2022-10-07
ADP,"Automatic Data Procs",227.12,-7.77,-3.31%,231.95,232.72,225.91,2068400,2022-10-07
ADSK,"Autodesk Inc",194.74,-11.13,-5.41%,201.59,202.17,193.27,1261200,2022-10-07
ADT,"ADT Inc",8.29,-0.13,-1.54%,8.35,8.41,8.19,6684200,2022-10-07
AEE,"Ameren Corp",76.96,-1.88,-2.38%,78.94,79.17,76.52,1739800,2022-10-07
AEP,"American Electric Power Company",82.99,-1.52,-1.80%,84.55,84.88,82.57,3717100,2022-10-07
AES,"The Aes Corp",24.92,-0.48,-1.89%,25.19,25.37,24.6,4443900,2022-10-07
AFG,"American Financial Group",127.03,-1.71,-1.33%,128.44,128.58,126.15,213600,2022-10-07
AFL,"Aflac Inc",57.69,-1.45,-2.45%,58.8,58.98,57.31,2404300,2022-10-07
AFRM,"Affirm Holdings Inc Cl A",18.9,-2.05,-9.79%,19.95,20.13,18.43,11565301,2022-10-07
AGCO,"Agco Corp",106.15,-0.25,-0.23%,105.33,106.31,103.46,597400,2022-10-07
AGL,"Agilon Health Inc",22.56,-0.58,-2.51%,22.75,22.86,22.23,2119900,2022-10-07
AGNC,"Agnc Investment Corp",7.87,-0.33,-4.02%,8.12,8.23,7.82,28069801,2022-10-07
AGO,"Assured Guaranty Ltd",50.25,-0.47,-0.93%,50.22,50.45,49.27,340900,2022-10-07
AGR,"Avangrid Inc",39.64,-1.37,-3.34%,40.97,41.03,39.3,632000,2022-10-07
AIG,"American International Group",49.71,-1.05,-2.07%,50.24,50.58,49.42,4097000,2022-10-07
AIRC,"Apartment Income REIT Corp",36.01,-1.11,-2.99%,36.77,36.96,35.83,1027300,2022-10-07
AIZ,"Assurant Inc",147.69,-2.24,-1.49%,148.83,148.83,146.43,331700,2022-10-07
AJG,"Arthur J. Gallagher & Company",174.31,-4.79,-2.67%,178.16,178.8,173.8,840500,2022-10-07
AKAM,"Akamai Technologies",82.08,-2.36,-2.79%,83.28,83.5,81.84,1108000,2022-10-07
AL,"Air Lease Corp Cl A",32.36,-0.51,-1.55%,32.35,32.65,31.68,362300,2022-10-07
ALB,"Albemarle Corp",272.53,-8.41,-2.99%,276.48,276.97,266.27,1031500,2022-10-07
ALGM,"Allegro Microsystems Inc",23.11,-0.8,-3.35%,23.18,23.43,22.97,518800,2022-10-07
ALGN,"Align Technology",211.58,-10.78,-4.85%,217.46,220.09,210.39,779500,2022-10-07
ALK,"Alaska Air Group",41.49,-0.97,-2.28%,41.92,42.04,40.89,830900,2022-10-07
ALL,"Allstate Corp",130.64,0.1,+0.08%,130.26,130.72,128.21,2223300,2022-10-07
ALLE,"Allegion Plc",92.42,-1.99,-2.11%,93.1,93.68,91.47,615600,2022-10-07
ALLY,"Ally Financial",29.11,-1.19,-3.93%,29.87,29.98,28.98,4616400,2022-10-07
ALNY,"Alnylam Pharmaceuticals",195.81,-6.56,-3.24%,201,202.53,194.96,844400,2022-10-07
ALSN,"Allison Transmission Holdings",35.18,-0.24,-0.68%,35.14,35.24,34.61,771700,2022-10-07
AM,"Antero Midstream Corp",9.78,-0.08,-0.81%,9.81,9.91,9.72,2250200,2022-10-07
AMAT,"Applied Materials",82.6,-5.52,-6.26%,85.17,85.54,82.02,10029800,2022-10-07
AMBP,"Ardagh Metal Packaging S.A.",4.87,-0.12,-2.40%,4.9,4.91,4.74,2984100,2022-10-07
AMC,"Amc Entertainment Holdings Inc",6.53,-0.59,-8.29%,7.1,7.1,6.4,23436201,2022-10-07
AMCR,"Amcor Plc",10.78,-0.29,-2.62%,10.95,10.95,10.73,5112900,2022-10-07
AMD,"Adv Micro Devices",58.44,-9.41,-13.87%,64.01,64.03,58.22,163786203,2022-10-07
AME,"Ametek Inc",116.29,-3.42,-2.86%,118.57,118.82,115.66,940100,2022-10-07
AMED,"Amedisys Inc",94.32,-2.84,-2.92%,97.01,97.11,93.73,483600,2022-10-07
AMG,"Affiliated Managers Group",118.33,-2.09,-1.74%,118.93,119.06,116.6,468600,2022-10-07
AMGN,"Amgen Inc",229.03,-1.91,-0.83%,230,231.51,228.57,2060000,2022-10-07
AMH,"American Homes 4 Rent",31.88,-1.11,-3.36%,32.73,32.87,31.64,1841800,2022-10-07
AMP,"Ameriprise Financial Services",271.86,-3.17,-1.15%,272.55,272.55,267.03,679200,2022-10-07
AMT,"American Tower Corp",194.63,-8.44,-4.16%,199.12,201.03,193.41,3165300,2022-10-07
AMZN,"Amazon.com Inc",114.56,-5.74,-4.77%,118,118.17,113.88,54677898,2022-10-07
AN,"Autonation Inc",100.82,-0.21,-0.21%,100.59,101.12,99.71,1603000,2022-10-07
ANET,"Arista Networks Inc",116.41,-5.49,-4.50%,119.7,119.93,115.69,1696900,2022-10-07
ANSS,"Ansys Inc",218.3,-13.93,-6.00%,227.15,227.44,216.74,626700,2022-10-07
