"How would you like AI to be used in the future?",7
"To make the world a better place.",6
"To do things Like do work for us write story Anything",1
"I am not sure it should be ok as it",7
"Can be used for research to help especially in medical research",3
"I use AI currently. I wish i could do anything i want with it. For instance, there are certain stat lines that are not popular that i look at wheb i bet, they have a blocker on that.",6
"in every aspect where possible in safe way",6
"To help us learn and teach about the world",4
"For the improvement of businesses and consumer products only.",6
"As a information source to get a second opinion",2
"I will love to use everytime and all time in the future always",6
"Healthcare advancements would likely be the best way to go because people and AI should come together to evolve a new way of living.",3
"I would like to see AI make life easier and safer for everyone without eliminating all of their employment",1
"Because al is good for my future husband has been good",7
"To improve healthcare in the US",3
"To help with all sorts of things in the medical and education. Field",1
"To improve current applications",6
"Online only and on Facebook. Aka meta",6
"Once there are more safety procedures in place",6
"For the emotionally draining jobs so humans have more time for fun and important stuff",6
"The same as it is now just on computer software no actual AI robots",6
"Not sure but I'm sure it is the future to some degree",7
"I would like it to not be used.",7
"To predict bad upcoming historical events.",6
"I think the sky is the limit we can use it for things we don’t even know yet",6
"Not to kill everyone or selling information",6
"yes, i would like to use ai in the future",7
"Only with things that are high tech like cars not social media",6
"To help people in their everyday lives.",1
"I love to be the best and love the rest",7
"To help with projects that I'm working on",1
"For medical purposes and not much of anything else",3
"Use for good and help more people .",6
"maybe just on small items. not on big technical",6
"I would like it to be use for future research to map out uner the oceans",2
"I don’t know anything about it, so I am unsure",7
"A more technological advanced and longer living world",6
"Only for school and work assignments.",4
"I like it to be used for entertainment right now",5
"I guess to benefit everyday life",1
"Speeding up our economy by allowing us to process more information at a faster rate",6
"To be more efficient with work and task by helping to do the mundane and redundant work out of people's hand",1
"To help researchers to discover new technologies",2
"To lave e alone until I need t",7
"I don’t want it to be I want all of it festroyed",7
"No differently than I am now really",7
"I would prefer it be banned before it gets misused",7
"In helping in schools and help with spelling",4
"The only way I could do that was if you had to do a lot more work and then you would be done by yourself so you",7
"To help people with medical difficulties and to for fun virtual experiences",3
"for tasks around the house/in the job",1
"To provide good research and data.",2
"As a tool for furthering the capabilities of humanity.",6
"To make money thank you have a blessed day",6
"I would not like it to be used",7
"To help humans thrive and assist is",1
"I would be okay if it assisted me in doing some research.",2
"I want it to be used so that people don't have to be wage slaves anymore. Robots could work for all humanity.",6
"To help with medical and surgical practices as an assistant or to help language barriers and things to help assist people rather then completely taking over a person's ability",3
"To benefit the human employees",6
"heavily regulated and verified.",6
"Yes because it help me safe time for all use of devices",1
"I really can't answer this I'm not sure",7
"It doesn’t matter, as long as it benefits the world.",6
"I would use it for repetitive tasks.",1
"i would like to use it to brainstom",6
"Only for research purposes. AI should only be used as help, not as a solution",2
"Well in so many ways because words alone cannot explain what i really want about it",7
"I don't know at all. Like I said who controls it and how does it know everything.",7
"I would like for it to be used in shopping and also in fast food",5
"Music wise I'm for it.. I feel. If it shouldn't be in the workforce us humans have a real life",6
"I think ai should be use for military purposes",6
"I think it would help with my job. I think it's beneficial",1
"Asking questions I don't know or understand",2
"To help diagnose and treat disease and heal people.",3
"to help clean my bathroom and mow the grass",1
"It's already replacing forms of filing data and some assistance jobs and is an everyday calendar",1
"To be selective with how it is used",6
"i probably would use it on everyday things",1
"To help make our health better",3
"To be helpful with certain things.",1
"Used as a part of our everyday life helping us remain safe",1
"I'm not sure really. It's still has too many unknown variables.",7
"Ai prime hd supply and demand to Allah yakiyaye my daddy na na song.",7
"Help with questions and ideas it seems very helpful",1
"Not at all   Too much technology is scary to me.",7
"I don't know what I would like to be used for in the future cuz I don't know anything about it",7
"For some things I agree with but I don't trust it really.",7
"Not at all get rid of it. Creepy",7
"I would like it to be used to help end diseases, and other medical uses.",3
"I really don’t know to be honest about the situation",7
"Treat cancer get rid of the disease and others",3
"It's better if it could be used only when asked",6
"Makes life a lot easier More efficient work is done things go more smoothly",1
"I have no idea how AI should be used in the future.",7
"I don’t know what to say about this one because it’s not my favorite one yet",7
"I don't know what it means at all",7
"AI assistance is great and beneficial",1
"To help with tasks such as writing, researching, ect",1
"Fast food restaurants, auto Zones,",5
"To make it lives much easier and more efficient",1
"Don't know much about it but interesting to know about it",7
"I really don’t know but I’m interested",7
"I don't know how I would use it",7
"I would like to use it first house chores",1
"I really don’t know at point an time",7
"An innovating quality production of technology cusomers intrest",6
"Study, research, leaning, helping disabled adults and children,",2
"I don’t know what I did wrong with ai",7
"Help by writing to people. Help make what you're trying to say sound better.",1
"To [perform menial tasks, to organize, as a virtual assistant",1
"To help be able to create things on the spot",1
"research only and not for anything else",2
"That's what we can see  on this is what we have to do for you and your family and",7
"To solve problems earthlings cannot.",6
"For research only should not take jobs away",2
"To help better organize and arrange my life.",1
"It would be used to generate things and I feel like it gonna take over",6
"Fit school maybe to help research for essays and projects",4
"Not at all!  I wish it had never been invited me",7
"To help people like me with all technolgy",1
"Don’t know anything about AI and don’t want to",7
"I have no opinion on this particular topic. But thanks",7
"As a very useful tool to help others",1
"Not sure. What would be the use of this",7
"Will use it for info greeting and for sakes",2
"I would like it to be eliminated.",7
"Unsure as I haven’t put much thought into it",7
"I would love it to be used in the future, but not take all of our jobs.",6
"In the Medical and health industry",3
