What are your greatest concerns about AI?,Category
used to proliferate incorrect information,5
that its spying and the info is incorrect and will take away work from people,2
that it will invade my privacy,2
taking over my device and the way AI can become real,3
"safety, private data at work and at home",2
replacing the human factor in the long run,1
nothing concern me about ai so yeah,7
my concerns are basically security,2
leaking info that is confidential,2
it being weponised for military use,4
i fear it will replace humans in jobs,1
"data security, bias, privacy issues",2
bias in the results since a hyman is not overseeing,5
Worried AI will take over identities,2
What are the greatest concerns? It would be hacks and other malfunctions.,2
Using it to scam people out of identity or money,4
Too powerful and can be used for deep fake,6
Too much dependent on using it rather then looking for stuff yourself.,6
To be improved to be very perfect like human,6
They will be taking jobs away. Many people will lose jobs,1
They help improve with your work,7
They are smarter than humans it's a scary thought,3
The some people might use it to commit crimes,4
The software's lack of ability to interpret and or explain the decisions or result it does not provide can generate distrust,6
The safety and concerns for protecting my personal information.,2
The privacy of my information and data concerns me with AI,2
The potential for misuse and making people more lazy and stupid,3
The medical records are on my phone,6
The fact that it could overtake humans and destroy us. Or that u can be scammed easier.,3
The effects of glitches it not running properly,6
The deep fakes and misinformation,5
The company brand terms of service,6
The ability to pretend or take another’s image and likeness,6
That they will take over human capabilities in all aspects,3
That they are to intelligent to,3
That the robots will take over the world and hurt people,3
That the children of the world will use it in lieu of their own intelligence.,6
That some people might use it to commit crimes,4
That personal information is protected,2
That one day there will be no jobs for no one,1
That it will take over the world and we won't be able to stop it.,3
That it will take away more jobs making everything so automated l.,1
That it will take away jobs that people need.,1
That it will put people out of their jobs and on the other hand that it is limited.,1
That it will get too smart and turn on its creator,3
"That it will cause misinformation.  It will be used too much and will really dampen the impact of certain things, like research papers.",5
That it will be used in negative ways,4
That it will be used by scammers and those with nefarious reasons,4
That it replace all the workers with robots and we lose control of everything,1
That it interfere with jobs of humans,1
That humans will become even worse at critical thinking than we already are,6
That cars and such will not be controlled by people,6
That I won't know how to use it and it is frustrating,6
That Al will be taking humans jobs in the future,1
That AI is going to take over the world,3
Talking over the world because it really how I feel,3
Taking over everything and what harm it can cause.,3
Taking away the fun jobs and stealing art content,1
Take over for humans not at all going forward,3
Spyware and sometimes it is not accurate,2
Some answers may not be accurate.,5
Selling my information and spam calls every second,2
Security safety for the future of the world,2
Security is my main concern as well as privacy,2
Security concerns I don’t want my personal information sold shared or otherwise made available without my knowledge,2
Security and loss of jobs and constant surveillance,2
Safety and security in using it and the ramifications.,2
Robots taking over the world. And it ending.,3
Robotic mistakes might happen.,6
Replacing jobs like writers so that everything just becomes generic.,1
Replacing humans. No sympathy. Can be hacked,1
Regulation. It's very important.,6
"Providing inaccurate results, relying too much on  AI and not doing own research.",5
Providing false information. And creating images that are not disclosed as AI,5
Privacy problems and it's to new it seems to know how negatively it can affect me,2
Privacy of personal information,2
Privacy and security issues concern me the mist,2
Privacy and ownership concerns,2
Peoples’ fears and concerns that are not true.,6
People using it to do bad things.AI becoming self aware.,4
Oh how it functions faster that most things,6
Obviously that it would take over the Internet and then the world and universe.,6
Nothing really just be careful,7
Nothing really concerns me.  About Al it’s greay so far,7
Nothing in particular I think it will be great,7
Nothing at all I love the money,7
Nothing I have no concerns it seems great so far,7
Not working normal when i need it assistance it will be very painful,6
Not sure I have no yet*still figuring it out. I'll know soon,7
None really. Has I might use grocery shopping.,7
None none none none none none jone onejoej joej oke joej joej,7
None at all not to much concerns,7
None I don't know about AI at all,7
No regulation seems to be the issue. In the wrong hands who knows.,6
No concerns about AI. To be very honest,7
N/a don’t care to much about it,7
My greatest concerns when it comes to AI is that it’s gonna take over the worlds,3
My greatest concerns is identity theft,2
My greatest concerns about AI is that it can soon be smarter then humans and that can be dangerous since they could take over the world.,3
My greatest concern is they may take over,3
My greatest concern is my personal privacy.,2
My greatest concern is AI stealing and selling my information,2
My greatest concern about AI is that they might take over one day,3
My concerns would be loss of jobs and people using it for bad intentions,1
Misinformation   artificial news being passed off as factual.,5
