Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
TSLA,248.48,2023/12/29,16:00 EST,-4.699997,255.1,255.19,247.43,100240940,,,,,,,
NIO,9.07,2023/12/29,16:00 EST,-0.360001,9.43,9.53,8.95,74405772,,,,,,,
AMD,147.41,2023/12/29,16:00 EST,-1.3499908,149.5,151.05,147.2,61297500,,,,,,,
AAPL,192.53,2023/12/29,16:00 EST,-1.050003,193.9,194.39,191.725,42522894,,,,,,,
F,12.19,2023/12/29,16:00 EST,-0.150001,12.35,12.39,12.16,40756126,,,,,,,
NVDA,495.22,2023/12/29,16:00 EST,0.0,498.13,499.97,487.51,38827290,,,,,,,
PLTR,17.17,2023/12/29,16:00 EST,-0.389999,17.52,17.64,17.1,38592667,,,,,,,
AMZN,151.94,2023/12/29,16:00 EST,-1.4400024,153.1,153.89,151.03,36399540,,,,,,,
CLSK,11.03,2023/12/29,16:00 EST,-2.08,13.2,13.46,10.63,35826964,,,,,,,
PFE,28.79,2023/12/29,16:00 EST,0.0,28.78,28.8689,28.54,30321741,,,,,,,
INTC,50.25,2023/12/29,16:00 EST,-0.13999939,50.3,50.5699,49.77,29202922,,,,,,,
T,16.78,2023/12/29,16:00 EST,0.0400009,16.63,16.83,16.61,27485000,,,,,,,
AAL,13.74,2023/12/29,16:00 EST,-0.23999977,13.95,13.9699,13.69,24107142,,,,,,,
BAC,33.67,2023/12/29,16:00 EST,-0.210003,33.94,33.995,33.55,23079207,,,,,,,
UBER,61.57,2023/12/29,16:00 EST,-1.57,62.36,63.14,61.3,21598656,,,,,,,
RIVN,23.46,2023/12/29,16:00 EST,-0.08000183,23.6,23.93,23.1,21224985,,,,,,,
WBD,11.38,2023/12/29,16:00 EST,-0.30999947,11.55,11.655,11.325,20248549,,,,,,,
PLUG,4.5,2023/12/29,16:00 EST,-0.21000004,4.7,4.72,4.5,19724025,,,,,,,
COIN,173.92,2023/12/29,16:00 EST,-12.440002,186.06,187.25,171.0,19623990,,,,,,,
MSFT,376.04,2023/12/29,16:00 EST,0.76000977,376.0,377.16,373.48,18706605,,,,,,,
PYPL,61.41,2023/12/29,16:00 EST,-1.670002,63.0,63.16,61.15,16719323,,,,,,,
META,353.96,2023/12/29,16:00 EST,-4.360016,358.99,360.0,351.82,14970726,,,,,,,
GOOG,140.93,2023/12/29,16:00 EST,-0.3500061,140.68,141.435,139.9,14816100,,,,,,,
AMC,6.12,2023/12/29,16:00 EST,-0.0900002,6.2,6.23,6.06,14632278,,,,,,,
HOOD,12.74,2023/12/29,16:00 EST,-0.44000053,13.16,13.17,12.52,14264049,,,,,,,
FCEL,1.6,2023/12/29,16:00 EST,-0.06999993,1.67,1.6883,1.57,14174424,,,,,,,
CHPT,2.34,2023/12/29,16:00 EST,-0.0800002,2.4,2.41,2.32,13185744,,,,,,,
CSCO,50.52,2023/12/29,16:00 EST,0.040000916,50.45,50.585,50.225,12487582,,,,,,,
VZ,37.7,2023/12/29,16:00 EST,0.209999,37.38,37.76,37.32,12290340,,,,,,,
GM,35.92,2023/12/29,16:00 EST,-0.280003,36.13,36.46,35.86,11205548,,,,,,,
SHOP,77.9,2023/12/29,16:00 EST,-1.21,79.12,79.7296,77.25,9516949,,,,,,,
RUN,19.63,2023/12/29,16:00 EST,-0.69000053,20.23,20.38,19.585,8960587,,,,,,,
