Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ZYXI,7.79,2024/08/21,15:18 EDT,0.13999987,7.67,7.83,7.5983,32183,,,,,,,
ZWS,31.52,2024/08/21,15:20 EDT,0.40999985,31.38,31.57,31.07,179037,,,,,,,
ZUO,8.42,2024/08/21,15:20 EDT,-0.35999966,8.85,8.83,8.2,2101458,,,,,,,
ZUMZ,27.175,2024/08/21,15:16 EDT,-0.25500107,27.75,27.82,27.08,90523,,,,,,,
ZNTL,3.22,2024/08/21,15:20 EDT,0.07999992,3.16,3.38,3.16,515856,,,,,,,
ZIP,9.04,2024/08/21,15:19 EDT,0.17000008,8.93,9.04,8.89,257623,,,,,,,
ZIMV,17.22,2024/08/21,15:12 EDT,-0.020000458,17.44,17.45,17.03,55643,,,,,,,
ZGN,10.425,2024/08/21,15:20 EDT,0.19500065,10.34,10.5,10.21,149812,,,,,,,
ZEV,,,,,,,,,,,,,,,
ZEUS,41.36,2024/08/21,15:18 EDT,1.0299988,40.72,41.425,40.36,32010,,,,,,,
ZETA,23.76,2024/08/21,15:20 EDT,-0.6800003,24.42,24.44,23.7,2095048,,,,,,,
ZD,45.7,2024/08/21,15:19 EDT,0.79999924,45.07,45.7,44.88,227701,,,,,,,
YOU,28.0,2024/08/21,15:20 EDT,-0.030000687,28.07,28.49,27.32,832585,,,,,,,
YORW,39.05,2024/08/21,15:16 EDT,0.47999954,38.7499,39.05,38.4525,18745,,,,,,,
YMAB,14.0,2024/08/21,15:19 EDT,0.48999977,13.68,14.39,13.45,149451,,,,,,,
YEXT,5.055,2024/08/21,15:19 EDT,-0.055000305,5.14,5.16,5.03,163158,,,,,,,
YELP,34.0,2024/08/21,15:20 EDT,-0.33000183,34.4,34.6,33.79,614722,,,,,,,
XXII,0.539,2024/08/21,15:15 EDT,-0.021000028,0.557,0.582,0.5253,127897,,,,,,,
XRX,10.455,2024/08/21,15:20 EDT,0.16499996,10.35,10.56,10.31,1020755,,,,,,,
XPRO,20.0,2024/08/21,15:20 EDT,0.020000458,20.29,20.36,19.8,485670,,,,,,,
