Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",127.44,-4.74,-3.59%,130.45,130.93,126.96,1154600,2022-10-07
AA,"Alcoa Corp",39.01,-0.84,-2.11%,39.04,39.35,37.88,6270600,2022-10-07
AAL,"American Airlines Gp",12.18,-0.55,-4.32%,12.5,12.54,11.94,37297602,2022-10-07
AAN,"Aarons Holdings Company",9.5,-0.4,-4.04%,9.75,9.86,9.44,491800,2022-10-07
AAON,"Aaon Inc",53.14,-2.11,-3.82%,54.82,54.82,52.81,127500,2022-10-07
AAP,"Advance Auto Parts Inc",161.32,-3.82,-2.31%,163.97,164.03,160.1,582700,2022-10-07
AAPL,"Apple Inc",140.09,-5.34,-3.67%,142.54,143.1,139.45,85925500,2022-10-07
AAT,"American Assets Trust",24.92,-0.1,-0.40%,24.78,25.02,24.69,460600,2022-10-07
AAWW,"Atlas Air Ww",98.18,0.08,+0.08%,97.68,98.5,97.68,448600,2022-10-07
ABBV,"Abbvie Inc",138.76,-1.53,-1.09%,139.01,140.05,137.55,4648800,2022-10-07
ABC,"Amerisourcebergen Corp",137.35,-2.56,-1.83%,138.8,139.27,136.87,1034500,2022-10-07
ABCB,"Ameris Bancorp",48.37,-0.49,-1.00%,48.74,48.94,47.78,362000,2022-10-07
ABCL,"Abcellera Biologics Inc",10.75,-0.66,-5.78%,11.09,11.3,10.71,1378600,2022-10-07
ABG,"Asbury Automotive Group Inc",154.63,1.95,+1.28%,152.54,155.16,150.23,190000,2022-10-07
ABM,"ABM Industries Inc",40.55,-1.3,-3.11%,41.37,41.65,40.53,428500,2022-10-07
ABMD,"Abiomed Inc",257.09,-10.12,-3.79%,263.37,266.53,255.48,242900,2022-10-07
ABNB,"Airbnb Inc Cl A",108.54,-3.04,-2.72%,108.87,109.53,107.1,3352700,2022-10-07
ABR,"Arbor Realty Trust",11.85,-0.2,-1.66%,11.93,12.18,11.72,2385200,2022-10-07
ABT,"Abbott Laboratories",101.79,-0.66,-0.64%,102.5,105.09,101.04,8485900,2022-10-07
ABUS,"Arbutus Biopharma Cp",1.91,-0.08,-4.02%,1.96,1.99,1.91,493700,2022-10-07
ACA,"Arcosa Inc",61.25,-1.04,-1.67%,62.06,62.42,61.02,176400,2022-10-07
ACAD,"Acadia Pharmaceutica",16.29,-2.34,-12.56%,18.22,18.27,16.03,2891100,2022-10-07
ACCD,"Accolade Inc",11.48,-0.91,-7.34%,12.29,13.4,11.23,1188400,2022-10-07
ACCO,"Acco Brands Corp",4.97,-0.24,-4.61%,5.15,5.16,4.96,861900,2022-10-07
ACEL,"Accel Entertainment Inc",8.45,-0.01,-0.12%,8.32,8.46,8.27,211700,2022-10-07
ACET,"Adicet Bio Inc",14.9,-0.8,-5.10%,15.57,15.57,14.81,353300,2022-10-07
ACGL,"Arch Capital Grp Ltd",45.67,-2.33,-4.85%,47.7,47.74,45.54,2712200,2022-10-07
ACHC,"Acadia Healthcr Company",80.17,-2.61,-3.15%,81.85,81.85,79.45,478200,2022-10-07
ACHR,"Archer Aviation Inc",2.64,-0.22,-7.69%,2.8,2.82,2.61,1239300,2022-10-07
ACI,"Albertsons Companies Inc Cl A",24.43,-0.83,-3.29%,25.25,25.42,24.35,2420800,2022-10-07
ACIW,"Aci Worldwide Inc",21.93,-0.19,-0.86%,21.86,22,21.59,875500,2022-10-07
ACLS,"Axcelis Tech Inc",61.46,-5.02,-7.55%,64.04,64.54,61.17,381300,2022-10-07
ACLX,"Arcellx Inc",17.18,-1.31,-7.08%,18.58,18.58,17.14,274000,2022-10-07
ACM,"Aecom Technology Corp",72.09,-1.05,-1.44%,72.72,73.03,71.37,435400,2022-10-07
ACMR,"Acm Research Inc",12.3,-0.94,-7.10%,12.93,12.97,11.94,695000,2022-10-07
ACN,"Accenture Plc",259.71,-9.76,-3.62%,266.48,266.86,258.29,1951200,2022-10-07
ACRE,"Ares Commercial Real Estate Cor",10.55,-0.13,-1.22%,10.62,10.8,10.42,712600,2022-10-07
ACRS,"Aclaris Therapts",15.82,-0.88,-5.27%,16.42,16.46,15.72,172000,2022-10-07
ACT,"Enact Holdings Inc",23.15,-0.32,-1.36%,23.31,23.34,22.98,114200,2022-10-07
ACVA,"Acv Auctions Inc Cl A",8.58,-0.21,-2.39%,8.59,8.9,8.33,1697500,2022-10-07
ADBE,"Adobe Systems Inc",288.77,-9.64,-3.23%,291.36,293.7,286.83,3495900,2022-10-07
ADC,"Agree Realty Corp",64.91,0.63,+0.98%,63.95,65.67,63.64,835300,2022-10-07
ADI,"Analog Devices",144.92,-6.05,-4.01%,147.67,148.63,144.13,4351200,2022-10-07
ADM,"Archer Daniels Midland",85.44,-0.31,-0.36%,84.98,86.04,84.33,2396100,2022-10-07
ADMA,"Adma Biologics",2.61,-0.01,-0.38%,2.62,2.68,2.58,2063300,2022-10-07
ADNT,"Adient Plc",29.61,-1.49,-4.79%,30.4,30.69,29.45,860300,2022-10-07
ADP,"Automatic Data Procs",227.12,-7.77,-3.31%,231.95,232.72,225.91,2068400,2022-10-07
ADPT,"Adaptive Biotechnologies Corp",7.15,-0.7,-8.92%,7.61,7.61,7.03,822600,2022-10-07
ADSK,"Autodesk Inc",194.74,-11.13,-5.41%,201.59,202.17,193.27,1261200,2022-10-07
ADT,"ADT Inc",8.29,-0.13,-1.54%,8.35,8.41,8.19,6684200,2022-10-07
ADTN,"Adtran Holdings Inc",20.52,0.3,+1.48%,20.15,20.59,20.15,841900,2022-10-07
ADUS,"Addus Homecare Corp",97.09,-0.8,-0.82%,96.7,97.95,95.57,55000,2022-10-07
AEE,"Ameren Corp",76.96,-1.88,-2.38%,78.94,79.17,76.52,1739800,2022-10-07
AEIS,"Advanced Energy",78.08,-5.07,-6.10%,81.79,82.02,77.64,198400,2022-10-07
AEL,"American Equity Investment Life",38.99,-0.42,-1.07%,39.41,39.41,38.65,327900,2022-10-07
AEO,"American Eagle Outfitters",10.5,-0.29,-2.69%,10.61,10.76,10.26,4468000,2022-10-07
AEP,"American Electric Power Company",82.99,-1.52,-1.80%,84.55,84.88,82.57,3717100,2022-10-07
AERI,"Aerie Pharmaceuticals",15.2,0.04,+0.26%,15.14,15.24,15.14,625300,2022-10-07
AES,"The Aes Corp",24.92,-0.48,-1.89%,25.19,25.37,24.6,4443900,2022-10-07
AFCG,"Afc Gamma Inc",15.7,-0.61,-3.74%,16.4,16.57,15.65,150300,2022-10-07
AFG,"American Financial Group",127.03,-1.71,-1.33%,128.44,128.58,126.15,213600,2022-10-07
AFL,"Aflac Inc",57.69,-1.45,-2.45%,58.8,58.98,57.31,2404300,2022-10-07
AFRM,"Affirm Holdings Inc Cl A",18.9,-2.05,-9.79%,19.95,20.13,18.43,11565301,2022-10-07
