Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",127.44,-4.74,-3.59%,130.93,126.96,1154600,2022-10-07
AAL,"American Airlines Gp",12.18,-0.55,-4.32%,12.54,11.94,37297602,2022-10-07
AAP,"Advance Auto Parts Inc",161.32,-3.82,-2.31%,164.03,160.1,582700,2022-10-07
AAPL,"Apple Inc",140.09,-5.34,-3.67%,143.1,139.45,85925500,2022-10-07
ABBV,"Abbvie Inc",138.76,-1.53,-1.09%,140.05,137.55,4648800,2022-10-07
ABC,"Amerisourcebergen Corp",137.35,-2.56,-1.83%,139.27,136.87,1034500,2022-10-07
ABMD,"Abiomed Inc",257.09,-10.12,-3.79%,266.53,255.48,242900,2022-10-07
ABT,"Abbott Laboratories",101.79,-0.66,-0.64%,105.09,101.04,8485900,2022-10-07
ACN,"Accenture Plc",259.71,-9.76,-3.62%,266.86,258.29,1951200,2022-10-07
ADBE,"Adobe Systems Inc",288.77,-9.64,-3.23%,293.7,286.83,3495900,2022-10-07
ADI,"Analog Devices",144.92,-6.05,-4.01%,148.63,144.13,4351200,2022-10-07
ADM,"Archer Daniels Midland",85.44,-0.31,-0.36%,86.04,84.33,2396100,2022-10-07
ADP,"Automatic Data Procs",227.12,-7.77,-3.31%,232.72,225.91,2068400,2022-10-07
ADSK,"Autodesk Inc",194.74,-11.13,-5.41%,202.17,193.27,1261200,2022-10-07
AEE,"Ameren Corp",76.96,-1.88,-2.38%,79.17,76.52,1739800,2022-10-07
AEP,"American Electric Power Company",82.99,-1.52,-1.80%,84.88,82.57,3717100,2022-10-07
AES,"The Aes Corp",24.92,-0.48,-1.89%,25.37,24.6,4443900,2022-10-07
AFL,"Aflac Inc",57.69,-1.45,-2.45%,58.98,57.31,2404300,2022-10-07
AIG,"American International Group",49.71,-1.05,-2.07%,50.58,49.42,4097000,2022-10-07
AIZ,"Assurant Inc",147.69,-2.24,-1.49%,148.83,146.43,331700,2022-10-07
AJG,"Arthur J. Gallagher & Company",174.31,-4.79,-2.67%,178.8,173.8,840500,2022-10-07
AKAM,"Akamai Technologies",82.08,-2.36,-2.79%,83.5,81.84,1108000,2022-10-07
ALB,"Albemarle Corp",272.53,-8.41,-2.99%,276.97,266.27,1031500,2022-10-07
ALGN,"Align Technology",211.58,-10.78,-4.85%,220.09,210.39,779500,2022-10-07
ALK,"Alaska Air Group",41.49,-0.97,-2.28%,42.04,40.89,830900,2022-10-07
ALL,"Allstate Corp",130.64,0.1,+0.08%,130.72,128.21,2223300,2022-10-07
ALLE,"Allegion Plc",92.42,-1.99,-2.11%,93.68,91.47,615600,2022-10-07
AMAT,"Applied Materials",82.6,-5.52,-6.26%,85.54,82.02,10029800,2022-10-07
AMCR,"Amcor Plc",10.78,-0.29,-2.62%,10.95,10.73,5112900,2022-10-07
AMD,"Adv Micro Devices",58.44,-9.41,-13.87%,64.03,58.22,163786203,2022-10-07
AME,"Ametek Inc",116.29,-3.42,-2.86%,118.82,115.66,940100,2022-10-07
AMGN,"Amgen Inc",229.03,-1.91,-0.83%,231.51,228.57,2060000,2022-10-07
AMP,"Ameriprise Financial Services",271.86,-3.17,-1.15%,272.55,267.03,679200,2022-10-07
AMT,"American Tower Corp",194.63,-8.44,-4.16%,201.03,193.41,3165300,2022-10-07
AMZN,"Amazon.com Inc",114.56,-5.74,-4.77%,118.17,113.88,54677898,2022-10-07
ANET,"Arista Networks Inc",116.41,-5.49,-4.50%,119.93,115.69,1696900,2022-10-07
ANSS,"Ansys Inc",218.3,-13.93,-6.00%,227.44,216.74,626700,2022-10-07
AON,"AON Plc",273.11,-7.61,-2.71%,278.85,270.92,601400,2022-10-07
AOS,"Smith A.O. Corp",49.5,-1.28,-2.52%,50.28,49.21,1307300,2022-10-07
APA,"Apa Corp",42.52,0.32,+0.76%,43.71,41.93,10920000,2022-10-07
APD,"Air Products and Chemicals",231.75,-6.84,-2.87%,236.95,230.01,1046800,2022-10-07
APH,"Amphenol Corp",70.17,-2.23,-3.08%,71.49,69.83,2322700,2022-10-07
APTV,"Aptiv Plc",85.19,-3.18,-3.60%,86.63,83.26,2418900,2022-10-07
ARE,"Alexandria Real Estate Equities",134.74,-4.59,-3.29%,138.06,133.74,822000,2022-10-07
ATO,"Atmos Energy Corp",99.39,-1.42,-1.41%,100.79,98.84,856500,2022-10-07
ATVI,"Activision Blizzard",73.35,-0.48,-0.65%,73.73,73.04,4208200,2022-10-07
AVB,"Avalonbay Communities",172.28,-5.35,-3.01%,176.82,171.01,728700,2022-10-07
AVGO,"Broadcom Ltd",460.48,-19.02,-3.97%,473.34,459.02,2842500,2022-10-07
AVY,"Avery Dennison Corp",165.53,-4.57,-2.69%,168.86,164.39,311500,2022-10-07
AWK,"American Water Works",127.45,-3.79,-2.89%,130.79,125.93,1051700,2022-10-07
AXP,"American Express Company",139,-3.38,-2.37%,141.29,138.08,2579600,2022-10-07
AZO,Autozone,2174,-41.88,-1.89%,2213.96,2165.86,139600,2022-10-07
BA,"Boeing Company",129.79,-2.41,-1.82%,130.61,128.02,5097300,2022-10-07
BAC,"Bank of America Corp",30.75,-0.71,-2.26%,31.24,30.52,52304598,2022-10-07
BALL,"Ball Corporation",48.52,-1.42,-2.84%,49.29,48.26,1747800,2022-10-07
BAX,"Baxter International Inc",55.62,-0.63,-1.12%,56.14,55.26,2686600,2022-10-07
BBWI,"Bath & Body Works Inc",35.51,0.22,+0.62%,35.53,34.34,3202200,2022-10-07
BBY,"Best Buy Company",64.53,-2.28,-3.41%,65.79,64.18,1878400,2022-10-07
BDX,"Becton Dickinson and Company",222.67,-5.73,-2.51%,227.55,221.64,1436800,2022-10-07
BEN,"Franklin Resources",21.85,-1.1,-4.79%,22.71,21.66,3523400,2022-10-07
BF.B,"Brown Forman Inc Cl B",65.13,-1.07,-1.62%,65.97,64.78,1045100,2022-10-07
BIIB,"Biogen Inc",257.89,-4.37,-1.67%,265.98,256.48,1778200,2022-10-07
BIO,"Bio-Rad Laboratories",428.93,-23.92,-5.28%,446.68,428.39,136600,2022-10-07
BK,"Bank of New York Mellon Corp",39.48,-1.2,-2.95%,40.41,39.18,3944100,2022-10-07
BKNG,"Booking Holdings Inc",1685.16,-24.57,-1.44%,1699.03,1668.12,443500,2022-10-07
