Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
CYXT,0.065,2024/08/19,16:00 EDT,0.0,0.065,0.065,0.065,369807727.0,,,,,,,
NVDA,127.8,2024/08/21,15:20 EDT,0.55000305,127.315,129.35,126.66,212121444.0,,,,,,,
LYLT,0.218,2024/08/19,16:00 EDT,0.0,0.1201,0.218,0.218,204480452.0,,,,,,,
ETRN,12.42,2024/07/19,16:06 EDT,0.0699997,12.36,12.57,12.23,194273144.0,,,,,,,
VRAY,0.025,2024/08/19,16:00 EDT,0.0,0.0397,0.0397,0.0245,96174239.0,,,,,,,
MULN,0.25,2024/08/21,15:20 EDT,0.007499993,0.274,0.3083,0.2502,72190705.0,,,,,,,
TSLA,221.84,2024/08/21,15:20 EDT,0.73999023,222.65,224.6594,218.86,62558557.0,,,,,,,
PTRA,0.067,2024/08/19,16:00 EDT,0.0,0.0898,0.09,0.0631,53140853.0,,,,,,,
AMRS,0.05,2024/08/19,16:00 EDT,0.0,0.064,0.0643,0.05,46746028.0,,,,,,,
VWE,0.0262,2024/08/01,16:00 EDT,0.0,0.034,0.0262,0.0262,46509386.0,,,,,,,
RILY,7.68,2024/08/21,15:20 EDT,2.1949997,5.56,9.05,4.97,37857551.0,,,,,,,
F,10.825,2024/08/21,15:20 EDT,0.1449995,10.835,10.97,10.75,37575487.0,,,,,,,
INTC,21.245,2024/08/21,15:20 EDT,0.25500107,21.072,21.44,21.07,36549607.0,,,,,,,
AMD,156.91,2024/08/21,15:20 EDT,0.51000977,156.25,158.65,155.07,35784044.0,,,,,,,
TELL,0.9364,2024/08/21,15:20 EDT,0.008300006,0.9215,0.937,0.902,34091801.0,,,,,,,
MARA,17.41,2024/08/21,15:20 EDT,0.9899998,16.53,17.6,16.4,32596374.0,,,,,,,
FUBO,2.0114,2024/08/21,15:20 EDT,0.07139993,1.96,2.11,1.93,31893390.0,,,,,,,
FCEL,0.4403,2024/08/21,15:20 EDT,0.025599986,0.42,0.4464,0.4,31872488.0,,,,,,,
PLTR,32.23,2024/08/21,15:20 EDT,-0.09000015,32.32,32.67,31.97,31701770.0,,,,,,,
LCID,3.535,2024/08/21,15:20 EDT,0.29500008,3.24,3.58,3.24,30791207.0,,,,,,,
SOFI,7.265,2024/08/21,15:20 EDT,-0.10500002,7.4,7.435,7.13,29743386.0,,,,,,,
M,15.7018,2024/08/21,15:20 EDT,-2.0381994,15.91,15.99,15.25,28998358.0,,,,,,,
SIRI,3.29,2024/08/21,15:20 EDT,0.03999996,3.47,3.64,3.26,28845552.0,,,,,,,
VBIV,0.0653,2024/08/07,16:00 EDT,0.0,0.0851,0.0653,0.0653,27931464.0,,,,,,,
AMZN,180.05,2024/08/21,15:20 EDT,1.1699982,179.99,182.38,178.8937,26437839.0,,,,,,,
SPWR,0.1228,2024/08/15,16:00 EDT,0.0,0.1112,0.1228,0.1228,26374966.0,,,,,,,
HZNP,116.3,2024/08/19,16:00 EDT,0.0,116.34,116.3,116.3,23917757.0,,,,,,,
BAC,38.575,2024/08/21,15:20 EDT,-0.114997864,38.87,38.995,38.385,23248558.0,,,,,,,
RKLB,7.03,2024/08/21,15:20 EDT,0.3800001,6.71,7.265,6.22,22984035.0,,,,,,,
AAPL,225.4702,2024/08/21,15:20 EDT,-1.0397949,226.49,227.98,225.42,22674309.0,,,,,,,
TGT,159.74,2024/08/21,15:20 EDT,16.529999,167.33,167.4,159.0,22469221.0,,,,,,,
CSSE,0.1055,2024/08/19,16:00 EDT,0.0,0.1155,0.1055,0.1055,22111163.0,,,,,,,
NSTG,0.1053,2024/08/19,16:00 EDT,-0.063,0.128,0.13999,0.1025,21428464.0,,,,,,,
PLUG,2.185,2024/08/21,15:20 EDT,0.05499983,2.13,2.2,2.12,20602109.0,,,,,,,
FISV,114.23,2024/08/19,16:00 EDT,0.0,112.54,114.23,114.23,20051164.0,,,,,,,
RIVN,12.965,2024/08/21,15:20 EDT,-0.23499966,13.31,13.35,12.85,18939690.0,,,,,,,
CLSK,12.1909,2024/08/21,15:20 EDT,0.5309,11.76,12.28,11.49,17607385.0,,,,,,,
WULF,4.73,2024/08/21,15:20 EDT,-0.009999752,4.8,4.92,4.44,17253930.0,,,,,,,
BEN,19.76,2024/08/21,15:20 EDT,-2.8600006,22.65,22.275,19.7,17077703.0,,,,,,,
LAZR,0.9703,2024/08/21,15:20 EDT,-0.020799994,1.0,1.01,0.9,15588877.0,,,,,,,
PDCE,73.85,2024/08/19,16:00 EDT,0.0,74.35,75.56,73.66,15498053.0,,,,,,,
RIOT,8.2317,2024/08/21,15:20 EDT,0.19169998,8.08,8.32,7.97,15122979.0,,,,,,,
OPEN,1.9901,2024/08/21,15:20 EDT,0.045099974,1.95,2.03,1.91,15084266.0,,,,,,,
CERE,44.96,2024/07/31,16:00 EDT,0.0,44.98,44.96,44.96,15033754.0,,,,,,,
AAL,10.38,2024/08/21,15:20 EDT,0.09000015,10.39,10.445,10.3,14678094.0,,,,,,,
WBD,7.705,2024/08/21,15:20 EDT,-0.06500006,7.8,7.82,7.565,14485839.0,,,,,,,
ATUS,1.85,2024/08/21,15:20 EDT,0.22000003,1.61,1.89,1.61,13439716.0,,,,,,,
CLOV,3.4693,2024/08/21,15:20 EDT,0.36930013,3.08,3.485,2.99,13310386.0,,,,,,,
AIRC,39.08,2024/06/27,16:01 EDT,-0.00999832,39.09,39.1,39.075,12988662.0,,,,,,,
LUMN,6.1399,2024/08/21,15:20 EDT,-0.010099888,6.13,6.245,5.875,12867127.0,,,,,,,
T,19.53,2024/08/21,15:20 EDT,0.040000916,19.52,19.588,19.4211,12809424.0,,,,,,,
GOOGL,165.47,2024/08/21,15:20 EDT,-1.7099915,165.2,166.85,164.67,12059255.0,,,,,,,
WBA,10.38,2024/08/21,15:20 EDT,-0.09999943,10.65,10.69,10.3,12017532.0,,,,,,,
WRK,51.51,2024/07/05,16:00 EDT,1.76,50.78,52.16,50.51,11862013.0,,,,,,,
SIVB,106.04,2024/08/19,16:00 EDT,0.0,176.55,106.04,106.04,11485729.0,,,,,,,
HYZN,0.0613,2024/08/21,15:18 EDT,-0.0039000027,0.062,0.0633,0.058,10755222.0,,,,,,,
CSCO,50.335,2024/08/21,15:20 EDT,0.094997406,50.3,50.55,50.03,10684506.0,,,,,,,
C,60.215,2024/08/21,15:20 EDT,-1.0950012,61.4,61.44,59.88,10584727.0,,,,,,,
VGR,15.09,2024/08/21,15:20 EDT,1.1000004,15.21,15.5349,15.05,10276012.0,,,,,,,
CCL,15.525,2024/08/21,15:20 EDT,0.20499992,15.41,15.61,15.3,10239305.0,,,,,,,
OXY,55.985,2024/08/21,15:20 EDT,-0.18499756,56.58,56.71,55.75,10212921.0,,,,,,,
META,532.26,2024/08/21,15:20 EDT,5.5300293,527.4,539.38,526.94,10200627.0,,,,,,,
MU,107.4,2024/08/21,15:20 EDT,-0.58999634,108.23,108.23,106.21,10021292.0,,,,,,,
PFE,28.95,2024/08/21,15:20 EDT,0.050001144,28.98,29.17,28.93,9991073.0,,,,,,,
PTON,3.325,2024/08/21,15:20 EDT,0.125,3.24,3.34,3.1801,9953491.0,,,,,,,
AVGO,164.75,2024/08/21,15:20 EDT,-1.199997,165.115,166.47,162.88,9916532.0,,,,,,,
CMG,53.81,2024/08/21,15:20 EDT,1.8700027,52.25,53.86,52.08,9883455.0,,,,,,,
FFIE,3.6499,2024/08/21,15:20 EDT,0.64989996,2.78,3.709,2.67,9589137.0,,,,,,,
WMT,75.05,2024/08/21,15:20 EDT,0.51000214,75.3,75.57,74.59,9393120.0,,,,,,,
GSAT,1.435,2024/08/21,15:20 EDT,0.16499996,1.3,1.45,1.2803,9248024.0,,,,,,,
STEM,0.6305,2024/08/21,15:20 EDT,0.058499992,0.577,0.6575,0.5714,9246236.0,,,,,,,
MSTR,139.82,2024/08/21,15:20 EDT,6.130005,134.34,141.25,132.87,9001417.0,,,,,,,
WFC,55.415,2024/08/21,15:20 EDT,-0.7350006,56.44,56.45,55.2,8757391.0,,,,,,,
TJX,119.91,2024/08/21,15:20 EDT,6.600006,119.89,120.89,117.913,8651877.0,,,,,,,
BLUE,0.7185,2024/08/21,15:20 EDT,0.056200027,0.663,0.7438,0.662,8578914.0,,,,,,,
LYFT,11.725,2024/08/21,15:20 EDT,0.43500042,11.45,11.765,11.2201,8502720.0,,,,,,,
SWN,6.225,2024/08/21,15:20 EDT,-0.055000305,6.33,6.34,6.17,8451747.0,,,,,,,
RBLX,43.35,2024/08/21,15:20 EDT,2.8099976,40.68,43.46,40.67,8376018.0,,,,,,,
AKTS,0.1,2024/08/21,15:20 EDT,0.0029999986,0.099,0.1069,0.0921,8328732.0,,,,,,,
UAA,8.405,2024/08/21,15:20 EDT,0.01499939,8.43,8.4499,8.26,8221230.0,,,,,,,
AGNC,10.155,2024/08/21,15:20 EDT,0.034999847,10.15,10.18,10.1,8140156.0,,,,,,,
MSFT,422.975,2024/08/21,15:20 EDT,-1.8249817,424.15,426.4,421.72,8046129.0,,,,,,,
GOOG,167.26,2024/08/21,15:20 EDT,-1.7000122,166.99,168.64,166.57,8042879.0,,,,,,,
CHPT,1.8923,2024/08/21,15:20 EDT,0.08230007,1.81,1.93,1.81,8015166.0,,,,,,,
GM,46.545,2024/08/21,15:20 EDT,0.5649986,46.25,46.915,46.245,7500510.0,,,,,,,
PYPL,71.495,2024/08/21,15:20 EDT,-0.39499664,72.0,72.77,70.87,7496572.0,,,,,,,
CIFR,4.06,2024/08/21,15:20 EDT,0.109999895,4.03,4.119,3.96,7392443.0,,,,,,,
PINS,32.45,2024/08/21,15:20 EDT,0.80000114,31.66,32.585,31.6218,7121612.0,,,,,,,
UBER,73.24,2024/08/21,15:20 EDT,-0.069999695,73.72,74.29,73.06,6791253.0,,,,,,,
NCLH,16.315,2024/08/21,15:20 EDT,0.39500046,15.97,16.36,15.96,6785670.0,,,,,,,
ACHR,3.79,2024/08/21,15:20 EDT,0.17000008,3.66,3.85,3.62,6658243.0,,,,,,,
COTY,10.11,2024/08/21,15:20 EDT,0.5799999,9.6,10.2,9.59,6657714.0,,,,,,,
CLF,12.855,2024/08/21,15:20 EDT,0.45499992,12.59,12.9,12.56,6591970.0,,,,,,,
KEY,16.38,2024/08/21,15:20 EDT,-0.2800007,16.76,16.76,16.35,6525259.0,,,,,,,
DKNG,35.53,2024/08/21,15:20 EDT,0.72999954,34.8,35.65,34.71,6525029.0,,,,,,,
CORZ,10.355,2024/08/21,15:20 EDT,0.2149992,10.2,10.41,10.01,6514417.0,,,,,,,
XOM,114.43,2024/08/21,15:20 EDT,-0.15000153,115.01,115.56,114.07,6364324.0,,,,,,,
LLAP,0.2889,2024/08/21,15:20 EDT,-0.0011000037,0.2848,0.3016,0.2751,6165213.0,,,,,,,
HL,6.17,2024/08/21,15:20 EDT,0.15999985,6.01,6.2,5.92,6132344.0,,,,,,,
KMI,20.9951,2024/08/21,15:20 EDT,-0.034900665,21.1,21.1,20.84,6093600.0,,,,,,,
