Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
BRK-B,397.22,2024/02/08,15:58 EST,-0.44000244,397.22,398.65,394.85,2456378,,,,,,,
BF-B,57.005,2024/02/08,15:57 EST,-0.125,57.05,57.45,56.6,731652,,,,,,,
ZTS,195.67,2024/02/08,15:58 EST,-1.4199982,196.08,197.0,195.0,1195479,,,,,,,
ZION,39.835,2024/02/08,15:58 EST,0.64500046,39.24,40.26,38.96,2276098,,,,,,,
ZBRA,247.03,2024/02/08,15:58 EST,-0.08000183,247.22,249.745,245.68,205511,,,,,,,
ZBH,123.21,2024/02/08,15:58 EST,-4.340004,120.67,124.528,119.16,3821556,,,,,,,
YUM,130.56,2024/02/08,15:58 EST,0.91999817,129.63,130.69,128.685,1553044,,,,,,,
XYL,122.25,2024/02/08,15:58 EST,-1.0999985,123.71,123.555,121.1437,1569657,,,,,,,
XRAY,33.13,2024/02/08,15:58 EST,-0.579998,32.57,33.4,32.25,2237493,,,,,,,
XOM,103.86,2024/02/08,15:58 EST,1.6399994,102.34,104.42,102.11,16176239,,,,,,,
XEL,57.985,2024/02/08,15:58 EST,-0.38499832,58.23,58.23,57.405,2082507,,,,,,,
WYNN,106.0,2024/02/08,15:58 EST,6.169998,104.26,108.76,103.92,6009592,,,,,,,
WY,33.035,2024/02/08,15:57 EST,0.17499924,32.79,33.22,32.77,1853217,,,,,,,
WTW,269.82,2024/02/08,15:58 EST,-1.9700012,270.41,271.7,267.92,365454,,,,,,,
WST,410.595,2024/02/08,15:58 EST,-2.4049988,410.775,413.56,407.14,282031,,,,,,,
WRK,42.7856,2024/02/08,15:58 EST,3.1680984,41.63,43.0,41.41,3565533,,,,,,,
WRB,79.765,2024/02/08,15:58 EST,-0.57499695,80.09,80.32,79.44,823105,,,,,,,
WMT,169.285,2024/02/08,15:58 EST,-0.09500122,169.38,170.55,169.14,3753408,,,,,,,
WMB,34.055,2024/02/08,15:58 EST,-0.23500061,34.17,34.28,33.89,5655507,,,,,,,
WM,189.61,2024/02/08,15:58 EST,-0.36999512,190.18,190.44,188.56,888907,,,,,,,
WHR,110.2,2024/02/08,15:58 EST,1.1499939,109.39,110.5724,109.034,752685,,,,,,,
WFC,48.325,2024/02/08,15:58 EST,-0.15499878,48.18,48.5,48.055,8904222,,,,,,,
WELL,87.05,2024/02/08,15:58 EST,0.29000092,86.59,87.43,85.96,1513623,,,,,,,
WEC,77.41,2024/02/08,15:58 EST,-0.75,77.8,78.02,76.8,1650410,,,,,,,
WDC,57.085,2024/02/08,15:58 EST,-0.85499954,57.57,57.98,57.02,3340137,,,,,,,
WBD,9.82,2024/02/08,15:58 EST,0.069999695,9.87,9.97,9.65,17019660,,,,,,,
WBA,22.52,2024/02/08,15:58 EST,-0.289999,22.81,22.92,22.475,6279442,,,,,,,
WAT,326.5,2024/02/08,15:58 EST,2.9599915,322.72,327.92,320.7,282577,,,,,,,
WAB,136.63,2024/02/08,15:58 EST,0.13000488,136.5,137.12,136.02,909213,,,,,,,
VZ,39.88,2024/02/08,15:58 EST,-0.5399971,40.3,40.37,39.44,16343273,,,,,,,
VTRS,11.53,2024/02/08,15:58 EST,-0.21000004,11.7,11.695,11.44,5547807,,,,,,,
VTR,45.55,2024/02/08,15:58 EST,0.45999908,44.93,45.845,44.94,1299014,,,,,,,
VRTX,422.76,2024/02/08,15:58 EST,3.6800232,420.28,424.4761,417.14,1082684,,,,,,,
VRSN,200.77,2024/02/08,15:52 EST,0.4900055,201.0,201.7,199.8221,607133,,,,,,,
VRSK,249.16,2024/02/08,15:58 EST,-1.5,250.01,251.83,248.37,505129,,,,,,,
VNO,26.42,2024/02/08,15:58 EST,1.0300007,25.32,26.61,25.1615,1253564,,,,,,,
VMC,238.79,2024/02/08,15:58 EST,2.269989,236.97,239.25,235.0,691688,,,,,,,
VLO,141.7925,2024/02/08,15:58 EST,0.61250305,141.5,142.36,140.935,2098264,,,,,,,
VICI,29.61,2024/02/08,15:58 EST,-0.09000015,29.62,29.93,29.58,3086433,,,,,,,
VFC,15.37,2024/02/08,15:58 EST,0.059999466,15.4,15.71,15.18,8896423,,,,,,,
V,275.775,2024/02/08,15:58 EST,-3.0950012,279.54,279.645,275.285,3372735,,,,,,,
USB,40.33,2024/02/08,15:58 EST,0.42000198,39.7,40.425,39.385,6534046,,,,,,,
URI,647.04,2024/02/08,15:58 EST,-5.6900024,651.77,656.12,644.46,444712,,,,,,,
UPS,147.98,2024/02/08,15:58 EST,0.73999023,146.8,148.07,145.855,2555035,,,,,,,
UNP,248.66,2024/02/08,15:58 EST,-0.5,249.07,249.04,246.41,1530525,,,,,,,
UNH,520.03,2024/02/08,15:58 EST,0.64001465,520.63,522.065,517.2834,2638533,,,,,,,
ULTA,518.73,2024/02/08,15:58 EST,4.6900024,516.22,521.98,513.3,546147,,,,,,,
UHS,162.015,2024/02/08,15:58 EST,-0.43499756,162.45,162.99,160.47,295199,,,,,,,
UDR,35.535,2024/02/08,15:57 EST,0.21500015,35.21,35.575,34.88,2898222,,,,,,,
UAL,41.605,2024/02/08,15:58 EST,0.32500076,41.21,41.63,40.44,6194822,,,,,,,
TYL,435.28,2024/02/08,15:57 EST,-0.6000061,434.88,437.9,434.51,89755,,,,,,,
TXT,87.58,2024/02/08,15:58 EST,-0.12999725,87.75,88.4,87.0251,1012581,,,,,,,
TXN,160.19,2024/02/08,15:58 EST,1.4199982,159.31,161.06,158.78,2282980,,,,,,,
TWTR,,,,,,,,,,,,,,,
TTWO,169.5,2024/02/08,15:58 EST,-0.070007324,170.61,171.59,168.33,2382405,,,,,,,
TT,269.82,2024/02/08,15:58 EST,-3.6099854,274.455,274.4299,269.75,1264278,,,,,,,
TSN,53.86,2024/02/08,15:52 EST,-0.07999802,54.0,54.435,53.5775,1494115,,,,,,,
TSLA,189.53,2024/02/08,15:58 EST,1.949997,189.0,191.6171,185.58,80630676,,,,,,,
TSCO,231.84,2024/02/08,15:58 EST,-1.6100006,233.84,235.01,230.492,901111,,,,,,,
