Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AADI,"Aadi Biosciences Inc",13.61,-0.69,-4.83%,14.19,14.19,13.55,50300,2022-10-07
AAN,"Aarons Holdings Company",9.5,-0.4,-4.04%,9.75,9.86,9.44,491800,2022-10-07
AAON,"Aaon Inc",53.14,-2.11,-3.82%,54.82,54.82,52.81,127500,2022-10-07
AAT,"American Assets Trust",24.92,-0.1,-0.40%,24.78,25.02,24.69,460600,2022-10-07
AAWW,"Atlas Air Ww",98.18,0.08,+0.08%,97.68,98.5,97.68,448600,2022-10-07
ABCB,"Ameris Bancorp",48.37,-0.49,-1.00%,48.74,48.94,47.78,362000,2022-10-07
ABCL,"Abcellera Biologics Inc",10.75,-0.66,-5.78%,11.09,11.3,10.71,1378600,2022-10-07
ABG,"Asbury Automotive Group Inc",154.63,1.95,+1.28%,152.54,155.16,150.23,190000,2022-10-07
ABM,"ABM Industries Inc",40.55,-1.3,-3.11%,41.37,41.65,40.53,428500,2022-10-07
ABR,"Arbor Realty Trust",11.85,-0.2,-1.66%,11.93,12.18,11.72,2385200,2022-10-07
ABSI,"Absci Corp",2.89,-0.27,-8.54%,3.1,3.11,2.87,103600,2022-10-07
ABUS,"Arbutus Biopharma Cp",1.91,-0.08,-4.02%,1.96,1.99,1.91,493700,2022-10-07
AC,"Associated Capital Group Inc",39.75,-0.25,-0.63%,39.96,40.2,38.9,8000,2022-10-07
ACA,"Arcosa Inc",61.25,-1.04,-1.67%,62.06,62.42,61.02,176400,2022-10-07
ACAD,"Acadia Pharmaceutica",16.29,-2.34,-12.56%,18.22,18.27,16.03,2891100,2022-10-07
ACCD,"Accolade Inc",11.48,-0.91,-7.34%,12.29,13.4,11.23,1188400,2022-10-07
ACCO,"Acco Brands Corp",4.97,-0.24,-4.61%,5.15,5.16,4.96,861900,2022-10-07
ACEL,"Accel Entertainment Inc",8.45,-0.01,-0.12%,8.32,8.46,8.27,211700,2022-10-07
ACET,"Adicet Bio Inc",14.9,-0.8,-5.10%,15.57,15.57,14.81,353300,2022-10-07
ACHR,"Archer Aviation Inc",2.64,-0.22,-7.69%,2.8,2.82,2.61,1239300,2022-10-07
ACIW,"Aci Worldwide Inc",21.93,-0.19,-0.86%,21.86,22,21.59,875500,2022-10-07
ACLS,"Axcelis Tech Inc",61.46,-5.02,-7.55%,64.04,64.54,61.17,381300,2022-10-07
ACLX,"Arcellx Inc",17.18,-1.31,-7.08%,18.58,18.58,17.14,274000,2022-10-07
ACMR,"Acm Research Inc",12.3,-0.94,-7.10%,12.93,12.97,11.94,695000,2022-10-07
ACNB,"Acnb Corp",29.49,-0.83,-2.74%,30.35,30.35,28.4,9000,2022-10-07
ACRE,"Ares Commercial Real Estate Cor",10.55,-0.13,-1.22%,10.62,10.8,10.42,712600,2022-10-07
ACRS,"Aclaris Therapts",15.82,-0.88,-5.27%,16.42,16.46,15.72,172000,2022-10-07
ACT,"Enact Holdings Inc",23.15,-0.32,-1.36%,23.31,23.34,22.98,114200,2022-10-07
ACVA,"Acv Auctions Inc Cl A",8.58,-0.21,-2.39%,8.59,8.9,8.33,1697500,2022-10-07
ADC,"Agree Realty Corp",64.91,0.63,+0.98%,63.95,65.67,63.64,835300,2022-10-07
ADMA,"Adma Biologics",2.61,-0.01,-0.38%,2.62,2.68,2.58,2063300,2022-10-07
ADNT,"Adient Plc",29.61,-1.49,-4.79%,30.4,30.69,29.45,860300,2022-10-07
ADPT,"Adaptive Biotechnologies Corp",7.15,-0.7,-8.92%,7.61,7.61,7.03,822600,2022-10-07
ADTH,"Adtheorent Holding CO Inc",1.93,0.05,+2.66%,1.85,1.94,1.825,124800,2022-10-07
ADTN,"Adtran Holdings Inc",20.52,0.3,+1.48%,20.15,20.59,20.15,841900,2022-10-07
ADUS,"Addus Homecare Corp",97.09,-0.8,-0.82%,96.7,97.95,95.57,55000,2022-10-07
ADV,"Advantage Solutions Inc",2.32,0.02,+0.87%,2.33,2.34,2.22,1510300,2022-10-07
AEIS,"Advanced Energy",78.08,-5.07,-6.10%,81.79,82.02,77.64,198400,2022-10-07
AEL,"American Equity Investment Life",38.99,-0.42,-1.07%,39.41,39.41,38.65,327900,2022-10-07
AEO,"American Eagle Outfitters",10.5,-0.29,-2.69%,10.61,10.76,10.26,4468000,2022-10-07
AERI,"Aerie Pharmaceuticals",15.2,0.04,+0.26%,15.14,15.24,15.14,625300,2022-10-07
AEVA,"Aeva Technologies Inc",2.06,-0.11,-5.07%,2.15,2.19,2.01,905900,2022-10-07
AFCG,"Afc Gamma Inc",15.7,-0.61,-3.74%,16.4,16.57,15.65,150300,2022-10-07
AFMD,"Affimed N.V.",1.9,-0.06,-3.06%,1.97,1.98,1.9,756800,2022-10-07
AGEN,"Agenus Inc",2.68,-0.12,-4.29%,2.75,2.79,2.63,5663300,2022-10-07
AGIO,"Agios Pharmaceuticals",27.09,-1.74,-6.04%,28.19,28.19,27.02,618900,2022-10-07
AGM,"Federal Agricultural Mortgage Corp",101.12,-2.11,-2.04%,103.26,104.14,100.4,28500,2022-10-07
AGTI,"Agiliti Inc",15.76,-0.48,-2.96%,16.11,16.11,15.62,194500,2022-10-07
AGX,"Argan Inc",32.03,-0.98,-2.97%,33.01,33.01,31.9,62800,2022-10-07
AGYS,"Agilysys Inc",54.22,-2.69,-4.73%,56.02,56.21,52.74,163900,2022-10-07
AHCO,"Adapthealth Corp Cl. A",19.91,-0.1,-0.50%,19.82,19.97,19.39,713500,2022-10-07
AHH,"Armada Hoffler Properties Inc",10.42,-0.14,-1.33%,10.55,10.61,10.29,470200,2022-10-07
AHT,"Ashford Hospitality Trust Inc",6.85,-0.14,-2.00%,6.9,7.05,6.67,351100,2022-10-07
AI,"C3.Ai Inc Cl A",12.54,-0.8,-6.00%,12.97,12.97,12.35,1261700,2022-10-07
AIMC,"Altra Indtl Mtn",34.96,-1.27,-3.51%,35.83,36.07,34.85,243800,2022-10-07
AIN,"Albany International Corp",83.35,-0.13,-0.16%,82.66,83.49,81.8,119600,2022-10-07
AIP,"Arteris Inc",6.09,-0.44,-6.74%,6.4,6.5,6.07,58800,2022-10-07
AIR,"AAR Corp",38.28,0.16,+0.42%,37.82,38.58,37.5,241100,2022-10-07
AIRS,"Airsculpt Technologies Inc",6.62,-0.37,-5.29%,6.84,6.9,6.51,86600,2022-10-07
AIT,"Applied Industrial Technologies",107.9,-2.36,-2.14%,109.17,109.5,107,199900,2022-10-07
AIV,"Apartment Investment and Management",7.1,-0.26,-3.53%,7.29,7.33,7.06,1689200,2022-10-07
